fusioncatcher,starfusion

ntools,lab,cell,accuracy,precision,#TP,#GT,#FP,TP_list,FP_list
1,gcsi,BT474,0.9565217391304348,0.04943820224719101,22,23,423,"['RPS6KB1--SNF8', 'ZMYND8--CEP250', 'ACACA--STAC2', 'STX16--RAE1', 'FAM102A--CIZ1', 'AHCTF1--NAAA', 'TOB1--SYNRG', 'TRPC4AP--MRPL45', 'MED1--ACSF2', 'STARD3--DOK5', 'MED1--STXBP4', 'MED13--BCAS3', 'RAB22A--MYO9B', 'SKA2--MYO19', 'PIP4K2B--RAD51C', 'GLB1--CMTM7', 'USP32--MED1', 'DIDO1--TTI1', 'CPNE1--PI3', 'LAMP1--MCF2L', 'THRA--AC090627.1', 'VAPB--IKZF3']","['THRA--THRA1/BTR', 'NPEPPS--TBC1D3', 'STX16-NPEPL1--RAE1', 'IKZF3--VAPB', 'SDHD--AP003973.3', 'NPIPB5--SMG1', 'AP002884.2--AP003973.3', 'ASTN2--AL354754.1', 'ERBB2--GRB7', 'TPM4--SYCE2', 'MEF2D--OR10J1', 'PTMA--SET', 'SIDT2--TAGLN', 'FITM2--UQCC1', 'CDK6--PSPH', 'PPP1R12A--MGAT4C', 'PTMA--HSP90AA1', 'NPM1--SET', 'RPL19--EEF1A1', 'LASP1--ERBB2', 'LINC00680--AC138409.2', 'NCL--SET', 'NPM1--PTMA', 'RNF125--BRI3BP', 'TMPO--ZFP36L1', 'TRIM37--MYO19', 'ATXN3--STARD7', 'SCNN1A--TNFRSF1A', 'YWHAB--LRRC75A', 'CLPB--PRR11', 'DDX6--RPL7L1', 'RPL23--EEF1A1', 'BRD4--RFX1', 'ZFP64--PHACTR3', 'BCAS3--AC034268.2', 'IKZF3--NSD2', 'RRM1--TRIM68', 'AC025048.4--HEATR6', 'ANP32B--SET', 'PTMA--APLP2', 'HILPDA--AC010655.3', 'HSPE1--MOB4', 'SLC29A1--HSP90AB1', 'CCDC125--EIF3G', 'CYP4F8--CYP4F23P', 'ERBB2--ACTB', 'NVL--ENAH', 'ZNF600--ZNF813', 'NCOA2--ZNF704', 'UBA2--WTIP', 'AC024560.4--AC124944.2', 'AC092747.2--PPFIBP1', 'APLP2--HSP90AA1', 'ELL--ISYNA1', 'ERGIC3--THRIL', 'MRPS33--TMPO', 'PPP1R9A--WDR66', 'RPL19--NCL', 'AC124944.2--AC132008.2', 'BCAS1--ZNF44', 'CCDC32--CBX3', 'CIRBP--FAM174C', 'HMGB1--PTMA', 'LRRC8A--SET', 'PSPH--IGF2BP3', 'TJP1--AC111152.1', 'AC091951.3--HERC2', 'ACSL3--SGPP2', 'CYP4F8--ILVBL', 'GOLT1A--KISS1', 'LSM12--TRG@', 'PSPH--TRB@', 'AC004921.2--GSAP', 'AP002754.1--RPLP0P2', 'CIZ1--NCL', 'COQ8B--NUMBL', 'D2HGDH--GAL3ST2', 'DDX27--ZNFX1', 'PIF1--DDOST', 'TRIM3--HPX', 'ZNF451--BAG2', 'AC044860.1--GOLGA2P2Y', 'AC124312.1--APBA2', 'AC138649.1--HERC2', 'CTBS--GNG5', 'EIF4G1--PTMA', 'HSP90AA1--NCL', 'IGFBP5--HSP90AA1', 'MLLT6--RET', 'MTG1--SCART1', 'NPM1--EPHA5', 'PRR11--AC008592.5', 'ZNF544--ZNF8', 'AP000534.2--AC073869.7', 'AP000944.5--MAP3K11', 'CCDC88C--NAP1L1', 'CCNI--PTMA', 'DDX17--PANTR1', 'ERBB2--ERGIC1', 'ERGIC1--LASP1', 'FCHSD2--LRTOMT', 'GREB1--ZNF284', 'KRT7--RPL19', 'PTMA--ANP32A', 'PTMA--TTBK1', 'SERF1A--SMN1', 'ACTB--KRT8', 'ARPC4--SETD5', 'CYP4F11--CYP4F23P', 'EEF1A1--EIF4G1', 'HMGB1--SET', 'IGF2BP1--STAC2', 'KDM7A-DT--MIR100HG', 'KRT8--EIF4G1', 'MPLKIP--AC124798.1', 'NAIP--OCLN', 'NCL--EPHA5', 'PRR11--LINC02185', 'PRRC2A--ERBB2', 'PTMA--APP', 'TMED2-DT--FTH1', 'AC006441.3--IGFBP5', 'ACIN1--PTMA', 'AP000974.1--SYTL2', 'ATXN2--TOMM70', 'C19MC--PRR11', 'CFL1--RPL19', 'CIZ1--PTMA', 'CRIPAK--USP14', 'GMEB1--CASP6', 'HLF--MLLT6', 'HSP90AA1--SMARCA4', 'HSPBP1--C11ORF80', 'IL3RA--SWAP70', 'KRTAP5-2--KRTAP5-1', 'LASP1--CALM1', 'NCL--ANP32A', 'NCL--UBTF', 'PAICS--RPS18', 'PRR11--WDR19', 'PTMA--CENPB', 'PTMA--LRRC59', 'PTMA--SRRM2', 'SMARCA4--PTMA', 'TRPV3--LPP', 'UGGT1--AL158154.3', 'ZNF124--ZNF670-ZNF695', 'ZNF681--PGAM5', 'ABCA10--ABCA11P', 'AC006064.4--LASP1', 'AC006441.3--PTMA', 'AC006441.3--SLC25A6', 'AC008840.1--SPATA9', 'AC064829.1--KLHL42', 'AC073320.1--LRRFIP1', 'ACSS1--APMAP', 'AL022323.3--DHFR', 'AL589182.1--AP000527.1', 'AL590652.1--VAPA', 'ARL5A--THUMPD3-AS1', 'BAIAP2L2--SLC16A8', 'C19MC--RPLP1', 'C19ORF47--AKT2', 'CALCOCO2--DNAL1', 'CFL1--IGFBP5', 'CRLF2--RAB3D', 'DHX40--MED1', 'DNAJC5--ACTB', 'ERBB2--FAM102A', 'FBXL20--NNT-AS1', 'FKBP8--PTMA', 'IGFBP5--MLLT6', 'LASP1--CTNNA1', 'LASP1--TMBIM6', 'MIR100HG--RAB29', 'MRPS30--PMS2', 'MYH9--SET', 'PDE10A--PITPNM3', 'PTMA--DAXX', 'PTMA--PELP1', 'SEC16A--EEF1A1', 'SET--APLP2', 'SET--RANGAP1', 'SETSIP--NCL', 'TEAD2--SLC6A16', 'UBA1--LASP1', 'UBL5--CLCN7', 'UBXN2A--MFSD2B', 'UCP2--ZFP36L1', 'WDR12--MED29', 'ZNF491--ZNF700', 'ZNF665--RAB29', 'ZNF700--ZNF763', 'AC005828.7--DENR', 'AC006064.4--PKM', 'AC006064.6--NCL', 'AC010326.2--CCNB3', 'AC010401.1--GID8', 'ACTB--UBAP2L', 'ACTR8--AC012467.2', 'AIMP2--ANKRD61', 'ALK--IRX3', 'AP003119.1--GUCY2EP', 'ARID4B--NCL', 'BRD4--RPL19', 'C9ORF152--AC245884.4', 'CDV3--NEK1', 'CLTC--ACTB', 'CNTNAP2--EIF1AX', 'CSDE1--ACTB', 'DDX18--AC009313.2', 'DHFR--ERBB2', 'DYNLRB1--MAP1LC3A', 'EED--HIKESHI', 'ERBB2--CISD3', 'ERBB2--IPO7', 'ERBB2--RPS14', 'ERH--AC092979.1', 'FGFR2--MKNK2', 'GABRB3--RYR3', 'GCC2-AS1--AC133644.3', 'HNRNPA2B1--RPL23', 'HSP90AA1--ACTB', 'ITCH--HNRNPUL1', 'ITCH--MAP1LC3A', 'KRT8--HNRNPA2B1', 'KRT8--SERINC2', 'LARS--SLC25A33', 'LASP1--ZMIZ1', 'LIMD1--TRA@', 'LONP2--RSL1D1', 'LRP5--ERBB2', 'MAVS--TMEM161B-AS1', 'MED1--YWHAB', 'MED24--LASP1', 'MLLT6--CCNI', 'MYO9A--RAC1', 'NCL--PRKCSH', 'NCOA3--MLLT6', 'NOP9--PRKCSH', 'NUSAP1--INO80-AS1', 'PARP1--SPOP', 'PKM--TUBB', 'PRR11--HMG20B', 'PRRC2B--P4HB', 'PSMB3--TRA@', 'PTMA--EWSR1', 'PTMA--PTMS', 'PTMA--SCAF1', 'RNF41--MYO1C', 'SERINC3--ACTB', 'SERINC3--C19MC', 'SGK3--SLC35E3', 'SLC24A1--PTMA', 'SSH2--LIMD1', 'STK4--TSHZ2', 'STRN4--ERBB2', 'TAF8--AC006213.6', 'TLE5--IGFBP5', 'UBB--CFL1', 'USP7--ACTB', 'XPO5--CASP6', 'YWHAB--ERBB2', 'ZNF652--LRRC75A', 'ABL1--SURF4', 'AC091180.3--IGFBP5', 'AC093001.1--TM4SF1-AS1', 'ACACA--EEF1A1', 'ACTB--FOXN3', 'ACTB--ITCH', 'ADAR--LINC02482', 'AL158154.3--SMIM14', 'AL161454.1--PARK7', 'AL390728.4--ZNF720', 'ANKRD17--NCL', 'AP002748.4--MRPL11', 'AP003108.2--EIF2S3', 'AP1S3--CRLF2', 'APLP2--CIZ1', 'APP--ACTB', 'ARHGEF12--IGFBP5', 'ARL2--RUNDC1', 'BCL11A--YWHAZ', 'BRAF--EXOG', 'C19MC--SMIM14', 'C9ORF152--MCPH1-AS1', 'CAPN2--PTMA', 'CASZ1--RPL23AP89', 'CCAR1--SPOP', 'CCDC124--PTMA', 'CENPB--NCL', 'CHST11--EIF5', 'CLSTN1--ERBB2', 'CPT2--FMR1', 'CRIPT--TAPBP', 'CSF2RA--STARD7', 'CXORF56--FBXO7', 'CYP4F23P--CYP4F3', 'DCAF7--TACO1', 'DDX21--YWHAB', 'EEF1A1--IRAK1', 'EEF1AKNMT--DNM3', 'EGLN2--ERBB2', 'EIF5B--PTMA', 'ELMSAN1--IGFBP5', 'ERBB2--ACSL1', 'ERBB2--LETM1', 'ETV6--IVD', 'FAM210B--SCO1', 'FAU--RABL6', 'FTH1--RPS14', 'FYCO1--LZTFL1', 'GASK1B--AC098679.4', 'GREB1--HNRNPUL1', 'HDGF--NCL', 'HDLBP--YWHAB', 'HMGB1--CALR', 'HNRNPA0--FMR1', 'HNRNPH1--HNRNPA2B1', 'HNRNPU--AHNAK', 'HSPB1--FTH1', 'ICOSLG--C19MC', 'IDE--TBC1D16', 'IGFBP5--SEPTIN11', 'IGFBP5--TNRC18', 'ITCH--PRRC2A', 'ITCH--TFRC', 'ITPK1--PTMA', 'KHSRP--GAPDH', 'KLF7--AC134508.1', 'KLHL42--BHLHE40', 'KPNB1--ERBB2', 'KRT8--DYNLRB1', 'KRT8--MARCKSL1', 'LASP1--KREMEN1', 'LASP1--NPLOC4', 'LASP1--PRR11', 'LASP1--YWHAB', 'LINC00632--RPL7L1', 'LINC01118--CSRP1', 'LRRC75A--FAM210B', 'MAPK14--MLLT6', 'MCCC2--WIPF2', 'MECOM--RPL22', 'MED12--NLGN3', 'MIR193BHG--MIS18A', 'MTHFR--DTD2', 'MUC6--PPIA', 'MYL6--GNAS', 'NCL--RTN4', 'NCL--SETD1A', 'NEK5--ZKSCAN1', 'NELFB--TOR4A', 'NIPA2--WDFY3-AS2', 'NOL11--NCOA3', 'NPM1--PTPN11', 'OR52A1--DDI2', 'PAICS--FAM98C', 'PCGF2--ZFP36L1', 'PCGF2--ZMAT1', 'PDIA6--AC092687.3', 'PEBP1--YWHAB', 'PHB--HNRNPL', 'POLR3GL--PTMA', 'PPIP5K1--CATSPER2', 'PPM1G--NCL', 'PRR11--AL158154.3', 'PRR11--YWHAB', 'PRRC2B--YWHAB', 'PSMC1--PKM', 'PSMD3--DDX54', 'PTMA--ARL6IP4', 'PTMA--CLSTN1', 'PTMA--HK1', 'PTP4A2--MLLT6', 'PTPRS--ERBB2', 'RAB7A--PTMA', 'RAC1--IGH@', 'RAD23B--LASP1', 'RPH3AL--LASP1', 'RPL7L1--TRA@', 'RPRD1B--GID8', 'SBK1--TRA@', 'SCAF1--NCL', 'SHROOM3--CCNI', 'SLC9A3R1--ACTB', 'SMARCA2--PTMA', 'SPINT2--PRKCSH', 'STAC2--CACNB1', 'STRIT1--SAPCD2', 'STRN--CCNI', 'STX18-AS1--IGFBP5', 'TAPBP--TSPAN31', 'TFRC--ACTB', 'TIMELESS--RANGAP1', 'TMUB1--LASP1', 'TTLL1--PACSIN2', 'TXNL4A--SLC66A2', 'UBE2Z--P4HB', 'UCK2--SDHC', 'UTP6--COPRS', 'VIRMA--PTMA', 'VPS4A--PDF', 'YWHAE--LASP1', 'ZFHX3--NCL', 'ZFP36L1--IGFBP5', 'ZMYND8--LASP1', 'ZNF264--TRUB2', 'ZNF346--FGFR4', 'ZNF621--FCF1', 'ZNF675--PPHLN1', 'ACACA--ERBB2', 'NUTM2A--NUTM2B', 'AGPAT5--MCPH1', 'EWSR1--FUS', 'NCAPD2--MRPL51', 'PDK2--VMP1', 'POLA2--CDC42EP2', 'SET--ANP32E', 'TADA2A--ERBB2', 'RBM12--PI3', 'ERN1--TBC1D3P1', 'POLA2--MAP3K11']"
1,gcsi,KPL4,1.0,0.030927835051546393,3,3,94,"['BSG--NFIX', 'NOTCH1--NUP214', 'PPP1R12A--SEPT10']","['URM1--ATP8A2', 'PPP1R12A--SEPTIN10', 'SCNN1A--TNFRSF1A', 'PCBP3--AP001042.2', 'LCAL1--HMGN3', 'HMGB1--UBE4B', 'TESMIN--CDK12', 'SET--NCL', 'PPP1R1B--STARD3', 'NPEPPS--TBC1D3', 'AC022784.1--Z98257.1', 'AC121764.1--WNT5A', 'ERBB2--GRB7', 'SMG1--NPIPB5', 'FBXL20--STAC2', 'NPM1--SET', 'COQ8B--NUMBL', 'EEF1A1--RPL7A', 'ERBB2--FTL', 'EEF1A1--GAPDH', 'H19--FTL', 'NSF--LRRC37A3', 'PTGES2--SLC25A25-AS1', 'INIP--C5', 'AC113414.1--AC121764.1', 'ACE2--PIR', 'EDF1--TPRN', 'HSP90AA1--PTMA', 'PPP1R1B--EIF3D', 'C5--CDC26', 'DNAL1--SAPCD2', 'EEF1D--NAPRT', 'AL139317.3--AC027290.2', 'BSG--NFIC', 'C19MC--GSR', 'KCNK2--PITPNC1', 'LRRC8A--SET', 'QSOX2--RNF165', 'SAPCD2--ZKSCAN1', 'SIDT2--TAGLN', 'CIRBP--FAM174C', 'CLTA--RGP1', 'ERBB2--ACTB', 'FTL--APP', 'GABRD--SLC35E1', 'RPL38--TTYH2', 'WASF3--COL5A1', 'AC006064.6--NCL', 'AC007068.1--NCL', 'AC011473.4--KLK7', 'AP001005.3--PCA3', 'C5--C9ORF170', 'C5--FAM120A', 'C5--NR4A3', 'DDX6--RPL7L1', 'DUS4L--BCAP29', 'EEF1A1--GOLGA4', 'EHMT1--NTNG2', 'ERH--AC092979.1', 'FGFR2--MKNK2', 'GRINA--ASS1', 'HACL1--COLQ', 'KCNK6--PRPF38A', 'KLHDC4--CTSA', 'KRT7--RPS6', 'LHFPL5--CLPSL1', 'MIR3945HG--SAPCD2', 'PANTR1--LCLAT1', 'PVT1--ADCY8', 'RNF213--EEF1A1', 'VWA1--ATAD3C', 'ZNF609--ALDH3A2', 'CARNMT1--C9ORF40', 'CCDC32--CBX3', 'CENPX--DUS1L', 'KRIT1--AC000120.2', 'MED12--NLGN3', 'MED8--ELOVL1', 'NELFB--TOR4A', 'PSMB7--SWI5', 'TKT--ERBB2', 'UBA2--WTIP', 'SET--ANP32E', 'LINC02159--ATP10B', 'TUBBP5--PCA3', 'INIP--NR4A3', 'NR4A3--GAS2L1P2', 'ZNF571-AS1--ZNF507', 'PRKCH--AL355916.1', 'C3orf67--FHIT', 'AC073529.1--MID1', 'AC240565.1--AP006222.1', 'DPY19L1P1--AVL9', 'OR51S1--TP53I11']"
1,gcsi,MCF7,0.8,0.0975609756097561,12,15,111,"['BCAS4--BCAS3', 'RPS6KB1--VMP1', 'ARFGEF2--SULF2', 'AC099850.1--VMP1', 'ADAMTS19--SLC27A6', 'SMARCA4--CARM1', 'MYO9B--FCHO1', 'ATXN7L3--FAM171A2', 'RPS6KB1--DIAPH3', 'PAPOLA--AK7', 'AHCYL1--RAD51C', 'SULF2--PRICKLE2']","['SLC25A24--NBPF6', 'SLC25A24--NBPF4', 'SYTL2--PICALM', 'DEPDC1B--ELOVL7', 'BCAS3--REG4', 'GCN1--MSI1', 'VPS35L--IQCK', 'RSBN1--AP4B1-AS1', 'GIGYF2--EIF4E2', 'NPIPB5--SMG1', 'ATP1A1--ZFP64', 'USP31--CRYL1', 'TTC6--AL121790.1', 'TXLNG--SYAP1', 'TANC2--CA4', 'GATAD2B--NUP210L', 'MYO6--SENP6', 'SMARCC1--EMCN', 'TAF4--BRIP1', 'ESR1--CCDC170', 'GBF1--MACROD2', 'NAV1--GPR37L1', 'PTMA--HSP90AB1', 'RAD51C--ATXN7', 'SPTLC1--AL445231.1', 'NPM1--SET', 'AC011921.1--PLPPR5', 'AP000974.1--SYTL2', 'EEF1D--NAPRT', 'PTMA--PTMS', 'AC103770.1--TMEM64', 'ATXN3--STARD7', 'NPEPPS--TBC1D3', 'SET--ANP32B', 'CTBS--GNG5', 'MTAP--CDKN2B-AS1', 'POP1--MATN2', 'RLN1--RLN2', 'AC010173.1--SLC16A7', 'DDX6--RPL7L1', 'GRHL2--AP001330.1', 'HIPK1--DENND2C', 'HMGB1--SET', 'TMPO--ZNF426', 'WDR72--CCDC162P', 'YWHAE--MYO1C', 'AL133410.1--NPR2', 'FKBP8--PTMA', 'GABRD--SLC35E1', 'HIPK1--ACTB', 'HMGB1--PELP1', 'KRT8--RHOBTB3', 'MACROD2--C14ORF132', 'OS9--NCL', 'PARD6B--BCAS3', 'PDE8A--SCAND2P', 'PTMA--ANP32E', 'RAC1--IGH@', 'RNF125--BRI3BP', 'RSBN1--DCLRE1B', 'SCNN1A--TNFRSF1A', 'AC108721.2--CDT1', 'ATXN7--BCAS3', 'C19MC--SMIM14', 'CACNA1A--TAF13', 'CCDC88C--NAP1L1', 'CENPB--NCL', 'DENND2C--AC005914.1', 'GAS2L3--FGFR1', 'GSR--YIPF6', 'HNRNPUL1--ACTB', 'HUWE1--ACTB', 'KRT8--EMP2', 'KRT8--LRRFIP1', 'KRT8--RPL7A', 'KRT8--SLC7A2', 'LINC01393--MET', 'LINC02506--TPH2', 'NUCKS1--GATA3', 'PLCG1--TOP1', 'PTPA--KRT8', 'RBM6--BCAR1', 'SERPINB9--RIPK1', 'SULF2--ACTB', 'TTBK1--PTMA', 'AC006064.6--PRKCSH', 'AC096647.1--SLC25A24', 'ADGRE2--ADGRE5', 'ATP9A--AL357558.1', 'ATXN7--BCAS1', 'B3GNTL1--SLC9A8', 'GSN--SMIM22', 'HAND2-AS1--LINC02269', 'MAN1A2--CBLN4', 'MCM4--KRT8', 'MORF4L2-AS1--TMEM31', 'NAIP--OCLN', 'PTMA--SUPT6H', 'SET--ANP32E', 'EP300--CREBBP', 'FUNDC2--BRCC3', 'KCND3--PPM1E', 'UBA2--WTIP', 'BCAS4--ZMYND8', 'ELP2--FP236383.1', 'SMG6--RTN4RL1', 'TBL1XR1--RGS17', 'ABCA5--PPP4R1L', 'MACROD2--C14orf132', 'EIF3H--RAD21', 'NFATC2--AP000550.3']"
1,gcsi,SKBR3,0.8333333333333334,0.23809523809523808,10,12,32,"['CYTH1--EIF3H', 'SUMF1--LRRFIP2', 'RARA--PKIA', 'CSE1L--AL035685.1', 'CCDC85C--SETD3', 'ANKHD1--PCDH1', 'TATDN1--GSDMB', 'PREX1--CPNE1', 'KLHDC2--SNTB1', 'DHX35--ITCH']","['GSDMB--TATDN1', 'VSTM2L--CTNNBL1', 'SAMD12--MRPL13', 'TRAM1--AC004083.1', 'ATXN3--STARD7', 'TAF2--COLEC10', 'CPNE1--PREX1', 'KPNA6--KHDRBS1', 'AC117386.2--P3H4', 'AL590666.4--RRNAD1', 'TMPO--MRPS33', 'AC005993.1--LINC02562', 'AC018362.1--CCND3', 'CBX3--CCDC32', 'ERBB2--ACTB', 'LINC01393--MET', 'ADK--SAMD8', 'MPRIP--UBB', 'MSMB--NCOA4', 'RCC1--UBE2D2', 'SLC29A1--HSP90AB1', 'ACOT8--WASH3P', 'ANKHD1-EIF4EBP3--PCDH1', 'HSPBP1--AC020922.2', 'TRIO--FBXL7', 'CSNK2A1--PREX1', 'PRKCH--AL355916.1', 'TRAM1--THOC7', 'TRIM5--AC104389.4', 'ACOT11--AL603840.1', 'SNHG3--UBE2D2', 'TBC1D31--ZNF704']"
2,gcsi,BT474,0.8695652173913043,0.5263157894736842,20,23,18,"['RPS6KB1--SNF8', 'ZMYND8--CEP250', 'ACACA--STAC2', 'STX16--RAE1', 'FAM102A--CIZ1', 'AHCTF1--NAAA', 'TOB1--SYNRG', 'TRPC4AP--MRPL45', 'MED1--ACSF2', 'STARD3--DOK5', 'MED1--STXBP4', 'MED13--BCAS3', 'RAB22A--MYO9B', 'SKA2--MYO19', 'PIP4K2B--RAD51C', 'GLB1--CMTM7', 'USP32--MED1', 'DIDO1--TTI1', 'CPNE1--PI3', 'LAMP1--MCF2L']","['SDHD--AP003973.3', 'ASTN2--AL354754.1', 'TPM4--SYCE2', 'MEF2D--OR10J1', 'FITM2--UQCC1', 'PPP1R12A--MGAT4C', 'TRIM37--MYO19', 'BRD4--RFX1', 'ZFP64--PHACTR3', 'BCAS3--AC034268.2', 'RRM1--TRIM68', 'AC025048.4--HEATR6', 'NVL--ENAH', 'NCOA2--ZNF704', 'PPP1R9A--WDR66', 'TJP1--AC111152.1', 'ACSL3--SGPP2', 'CYP4F8--ILVBL']"
2,gcsi,KPL4,0.6666666666666666,0.10526315789473684,2,3,17,"['BSG--NFIX', 'NOTCH1--NUP214']","['URM1--ATP8A2', 'PCBP3--AP001042.2', 'TESMIN--CDK12', 'FBXL20--STAC2', 'INIP--C5', 'EDF1--TPRN', 'C5--CDC26', 'KCNK2--PITPNC1', 'CLTA--RGP1', 'WASF3--COL5A1', 'C5--FAM120A', 'C5--NR4A3', 'EHMT1--NTNG2', 'LHFPL5--CLPSL1', 'PVT1--ADCY8', 'CENPX--DUS1L', 'PSMB7--SWI5']"
2,gcsi,MCF7,0.8,0.2553191489361702,12,15,35,"['BCAS4--BCAS3', 'RPS6KB1--VMP1', 'ARFGEF2--SULF2', 'AC099850.1--VMP1', 'ADAMTS19--SLC27A6', 'SMARCA4--CARM1', 'MYO9B--FCHO1', 'ATXN7L3--FAM171A2', 'RPS6KB1--DIAPH3', 'PAPOLA--AK7', 'AHCYL1--RAD51C', 'SULF2--PRICKLE2']","['SLC25A24--NBPF6', 'SYTL2--PICALM', 'DEPDC1B--ELOVL7', 'BCAS3--REG4', 'GCN1--MSI1', 'VPS35L--IQCK', 'RSBN1--AP4B1-AS1', 'GIGYF2--EIF4E2', 'ATP1A1--ZFP64', 'USP31--CRYL1', 'TTC6--AL121790.1', 'TXLNG--SYAP1', 'TANC2--CA4', 'GATAD2B--NUP210L', 'MYO6--SENP6', 'SMARCC1--EMCN', 'TAF4--BRIP1', 'ESR1--CCDC170', 'GBF1--MACROD2', 'NAV1--GPR37L1', 'RAD51C--ATXN7', 'SPTLC1--AL445231.1', 'AC011921.1--PLPPR5', 'AC103770.1--TMEM64', 'MTAP--CDKN2B-AS1', 'POP1--MATN2', 'AC010173.1--SLC16A7', 'GRHL2--AP001330.1', 'HIPK1--DENND2C', 'YWHAE--MYO1C', 'PARD6B--BCAS3', 'DENND2C--AC005914.1', 'RBM6--BCAR1', 'HAND2-AS1--LINC02269', 'MAN1A2--CBLN4']"
2,gcsi,SKBR3,0.4166666666666667,0.5,5,12,5,"['CYTH1--EIF3H', 'SUMF1--LRRFIP2', 'RARA--PKIA', 'CSE1L--AL035685.1', 'CCDC85C--SETD3']","['VSTM2L--CTNNBL1', 'SAMD12--MRPL13', 'TRAM1--AC004083.1', 'TAF2--COLEC10', 'KPNA6--KHDRBS1']"
