fusioncatcher,starfusion

ntools,lab,cell,accuracy,precision,#TP,#GT,#FP,TP_list,FP_list
1,uhn,BT474,0.8695652173913043,0.5128205128205128,20,23,19,"['THRA--AC090627.1', 'ACACA--STAC2', 'RPS6KB1--SNF8', 'MED1--STXBP4', 'MED1--ACSF2', 'STX16--RAE1', 'TOB1--SYNRG', 'ZMYND8--CEP250', 'TRPC4AP--MRPL45', 'VAPB--IKZF3', 'RAB22A--MYO9B', 'MED13--BCAS3', 'GLB1--CMTM7', 'PIP4K2B--RAD51C', 'SKA2--MYO19', 'FAM102A--CIZ1', 'AHCTF1--NAAA', 'DIDO1--TTI1', 'USP32--MED1', 'CPNE1--PI3']","['THRA--THRA1/BTR', 'ACACA--ERBB2', 'SLC38A2--RPL23', 'RBMX--RPL23', 'TPM3--ERBB2', 'NPEPPS--TBC1D3', 'ZNF664--ERBB2', 'ACTB--NCOA6', 'ASTN2--AL354754.1', 'PPP1R12A--MGAT4C', 'RBM12--PI3', 'FITM2--UQCC1', 'TRIM37--MYO19', 'AC025048.4--HEATR6', 'KAT6A--PLAT', 'TPM4--SYCE2', 'BCAS3--AC034268.2', 'MEF2D--OR10J1', 'FCHSD2--LRTOMT']"
1,uhn,MCF7,0.8,0.12121212121212122,12,15,87,"['RPS6KB1--VMP1', 'ADAMTS19--SLC27A6', 'AC099850.1--VMP1', 'ARFGEF2--SULF2', 'BCAS4--BCAS3', 'RPS6KB1--DIAPH3', 'PAPOLA--AK7', 'SULF2--PRICKLE2', 'AHCYL1--RAD51C', 'SMARCA4--CARM1', 'MYO9B--FCHO1', 'ATXN7L3--FAM171A2']","['KRT8--CD63', 'NFE2L1--KRT8', 'SMIM14--ACTG1', 'NCOA3--RACK1', 'MYO6--KRT8', 'TPM3--KRT8', 'KRT8--PDXDC1', 'TKT--KRT8', 'C1ORF43--KRT8', 'EIF2AK1--KRT8', 'CELF1--KRT8', 'KRT8--UBE2Z', 'KRT8--PDIA3', 'NRBP1--KRT8', 'MKRN1--KRT8', 'NCOA3--BCAS3', 'PRPF3--KRT8', 'ETFA--KRT8', 'AC021087.5--KRT8', 'MCM4--KRT8', 'NOL11--KRT8', 'KRT8--NSD1', 'SAE1--KRT8', 'TMSB4X--IGF1R', 'AC016876.2--DSCAM-AS1', 'TANC2--CA4', 'GCN1--MSI1', 'MYH9--AC011505.1', 'PCBP2--ATF7', 'RSBN1--AP4B1-AS1', 'DNAJB6--UBE3C', 'VPS35L--IQCK', 'BCAS3--REG4', 'GSN--SMIM22', 'DEPDC1B--ELOVL7', 'BCAS3--ATXN7', 'NAV1--GPR37L1', 'SYTL2--PICALM', 'VAV3--AP4B1-AS1', 'GATAD2B--NUP210L', 'BMERB1--ABCC1', 'FNIP1--MEIKIN', 'ESR1--CCDC170', 'SMARCC1--EMCN', 'MYO6--SENP6', 'ATP1A1--ZFP64', 'TBL1XR1--RGS17', 'SLC25A24--NBPF6', 'TXLNG--SYAP1', 'ABCA5--PPP4R1L', 'RAD51C--ATXN7', 'ELP2--FP236383.1', 'AC011921.1--PLPPR5', 'TRIM37--DHX40', 'SPTLC1--AL445231.1', 'MTAP--CDKN2B-AS1', 'HIPK1--DENND2C', 'GREB1--LINC00570', 'ABCA1--KIAA1324', 'SLC25A24--SARS', 'VAV3--AL137856.1', 'NCOA3--AC005808.1', 'TAF4--BRIP1', 'DENND2C--AC005914.1', 'USP31--CRYL1', 'CRYL1--GP2', 'AC103770.1--TMEM64', 'TTC6--AL121790.1', 'RBM6--BCAR1', 'NPEPPS--EFCAB13', 'MIR4713HG--GLDN', 'FAM49B--ASAP1', 'KCND3--PPM1E', 'SARNP--MMP19', 'AC244154.1--GPR179', 'LEMD3--AC002375.1', 'NFATC2--AL356585.2', 'BCAS3--AMPD1', 'ATP9A--AL357558.2', 'AC005037.1--NIF3L1', 'ZMYND8--USP32', 'GIGYF2--EIF4E2', 'MAN1A2--CBLN4', 'PARD6B--BCAS3', 'ARHGAP10--EDNRA', 'EIF3H--RAD21', 'MED16--TMEM259']"
1,uhn,SKBR3,0.6666666666666666,0.14285714285714285,8,12,48,"['TATDN1--GSDMB', 'SUMF1--LRRFIP2', 'RARA--PKIA', 'KLHDC2--SNTB1', 'CYTH1--EIF3H', 'CCDC85C--SETD3', 'CSE1L--AL035685.1', 'DHX35--ITCH']","['RPL19--PDIA3', 'TXNRD1--ERBB2', 'TKT--ERBB2', 'EIF2AK1--ERBB2', 'CPNE3--ERBB2', 'IPO7--ERBB2', 'PPT1--CD24', 'CNOT1--ERBB2', 'LITAF--ERBB2', 'TKT--CD24', 'TXNRD1--PDIA3', 'TUBA1C--CD24', 'CHD4--ERBB2', 'EIF2AK1--CD24', 'CPNE3--CD24', 'ERBB2--PA2G4', 'RPS15A--CD24', 'NDST1--ERBB2', 'DAG1--ERBB2', 'MGST1--ERBB2', 'RPL19--SDHA', 'TMBIM1--ERBB2', 'ANXA7--ERBB2', 'C1ORF43--ERBB2', 'GTF2I--EIF4B', 'TPM3--ERBB2', 'GOLM1--ERBB2', 'KTN1--ERBB2', 'CALU--PDIA3', 'CNOT1--CD24', 'RAD21--APLP2', 'TAF2--COLEC10', 'SAMD12--MRPL13', 'ANKHD1-EIF4EBP3--PCDH1', 'TBC1D31--ZNF704', 'SAMD12-AS1--COLEC10', 'ATAD5--TLK2', 'LGALS8--EDARADD', 'TRIO--FBXL7', 'NF1--RNF135', 'VSTM2L--CTNNBL1', 'IQSEC1--MBNL1', 'LINC00271--PDE7B', 'MMP24OS--EDEM2', 'ACOT8--WASH3P', 'AC093515.1--SLC12A4', 'TMED3--MINAR1', 'PRKCH--AL355916.1']"
2,uhn,BT474,0.0,0,0,23,0,[],[]
2,uhn,MCF7,0.2,1.0,3,15,0,"['RPS6KB1--VMP1', 'ADAMTS19--SLC27A6', 'AC099850.1--VMP1']",[]
2,uhn,SKBR3,0.16666666666666666,1.0,2,12,0,"['TATDN1--GSDMB', 'SUMF1--LRRFIP2']",[]
