partner,#_occurences,labs_found_in,cells_found_in,partners
DDX5,9,"['ccle', 'gcsi', 'gdsc']","['ZR-75-30', 'ZR-75-30', 'ZR-75-30']","['DDX5', 'DDX5', 'DDX5', 'DDX5', 'DDX5', 'DDX5', 'DDX5', 'DDX5', 'DDX5']"
BCAS3,8,"['ccle', 'gcsi', 'gdsc']","['ZR-75-30', 'ZR-75-30', 'ZR-75-30']","['BCAS3', 'BCAS3', 'BCAS3', 'BCAS3', 'BCAS3', 'BCAS3', 'BCAS3', 'BCAS3']"
SMURF2,6,"['ccle', 'ccle', 'gcsi', 'gcsi', 'gdsc', 'gdsc']","['HCC1806', 'SW1573', 'HCC1806', 'SW1573', 'HCC1806', 'SW1573']","['SMURF2', 'SMURF2', 'SMURF2', 'SMURF2', 'SMURF2', 'SMURF2']"
ZFPM2-AS1,3,"['ccle', 'gcsi', 'gdsc']","['ZR-75-30', 'ZR-75-30', 'ZR-75-30']","['ZFPM2-AS1', 'ZFPM2-AS1', 'ZFPM2-AS1']"
ERBB2,3,"['ccle', 'gcsi', 'gdsc']","['ZR-75-30', 'ZR-75-30', 'ZR-75-30']","['ERBB2', 'ERBB2', 'ERBB2']"
LASP1,3,"['ccle', 'gcsi', 'gdsc']","['UACC-812', 'UACC-812', 'UACC-812']","['LASP1', 'LASP1', 'LASP1']"
FNDC3B,3,"['ccle', 'gcsi', 'gdsc']","['U-266', 'U-266', 'U-266']","['FNDC3B', 'FNDC3B', 'FNDC3B']"
ARFIP1,3,"['ccle', 'gcsi', 'gdsc']","['U-266', 'U-266', 'U-266']","['ARFIP1', 'ARFIP1', 'ARFIP1']"
RPL36AL,3,"['ccle', 'gcsi', 'gdsc']","['SW1463', 'SW1463', 'SW1463']","['RPL36AL', 'RPL36AL', 'RPL36AL']"
LRR1,3,"['ccle', 'gcsi', 'gdsc']","['SW1463', 'SW1463', 'SW1463']","['LRR1', 'LRR1', 'LRR1']"
PKHD1L1,3,"['ccle', 'gcsi', 'gdsc']","['NCI-H510A', 'NCI-H510A', 'NCI-H510A']","['PKHD1L1', 'PKHD1L1', 'PKHD1L1']"
MTMR4,3,"['ccle', 'gcsi', 'gdsc']","['MDA-MB-361', 'MDA-MB-361', 'MDA-MB-361']","['MTMR4', 'MTMR4', 'MTMR4']"
BCR,3,"['ccle', 'gcsi', 'gdsc']","['KU812', 'KU812', 'KU812']","['BCR', 'BCR', 'BCR']"
ABL1,3,"['ccle', 'gcsi', 'gdsc']","['KU812', 'KU812', 'KU812']","['ABL1', 'ABL1', 'ABL1']"
NT5DC1,3,"['ccle', 'gcsi', 'gdsc']","['HCT-15', 'HCT-15', 'HCT-15']","['NT5DC1', 'NT5DC1', 'NT5DC1']"
MBTD1,3,"['ccle', 'gcsi', 'gdsc']","['HCT-15', 'HCT-15', 'HCT-15']","['MBTD1', 'MBTD1', 'MBTD1']"
FRK,3,"['ccle', 'gcsi', 'gdsc']","['HCT-15', 'HCT-15', 'HCT-15']","['FRK', 'FRK', 'FRK']"
SLC29A4,3,"['ccle', 'gcsi', 'gdsc']","['COLO-741', 'COLO-741', 'COLO-741']","['SLC29A4', 'SLC29A4', 'SLC29A4']"
AKT3,2,"['gcsi', 'gdsc']","['UACC-812', 'UACC-812']","['AKT3', 'AKT3']"
VRK3,2,"['gcsi', 'gdsc']","['SW1463', 'SW1463']","['VRK3', 'VRK3']"
LINC02241,2,"['ccle', 'gcsi']","['NCI-H510A', 'NCI-H510A']","['LINC02241', 'LINC02241']"
PCGF2,1,['gdsc'],['ZR-75-30'],['PCGF2']
SRGAP2,1,['gdsc'],['UACC-812'],['SRGAP2']
ZCCHC7,1,['gdsc'],['SU-DHL-6'],['ZCCHC7']
IQCH,1,['gdsc'],['SNU-C1'],['IQCH']
GNPTG,1,['gdsc'],['KNS-62'],['GNPTG']
MAVS,1,['gcsi'],['SW1463'],['MAVS']
PCAT1,1,['gcsi'],['NCI-H510A'],['PCAT1']
MID1,1,['ccle'],['SW1463'],['MID1']
MIPOL1,1,['ccle'],['RKO'],['MIPOL1']
S100A10,0,[],[],[]
CTSS,0,[],[],[]
CSF3,0,[],[],[]
SNX27,0,[],[],[]
AC239809.1,0,[],[],[]
MTSS1,0,[],[],[]
RAD54B,0,[],[],[]
PTGER3,0,[],[],[]
RAB1A,0,[],[],[]
SNTG1,0,[],[],[]
AP3S1,0,[],[],[]
AL158212.1,0,[],[],[]
HEYL,0,[],[],[]
PIK3C3,0,[],[],[]
HEATR3,0,[],[],[]
PCDH9-AS1,0,[],[],[]
UBE2B,0,[],[],[]
BEND3,0,[],[],[]
BAGE2,0,[],[],[]
SFTA3,0,[],[],[]
SKAP1,0,[],[],[]
ESRP1,0,[],[],[]
ACO2,0,[],[],[]
MRPL45,0,[],[],[]
DCTN2,0,[],[],[]
FAM230C,0,[],[],[]
ENPEP,0,[],[],[]
AL159156.1,0,[],[],[]
AC009060.1,0,[],[],[]
TRPC4,0,[],[],[]
LINC02142,0,[],[],[]
AGRN,0,[],[],[]
SH3BGRL2,0,[],[],[]
TMCC1,0,[],[],[]
KLF3,0,[],[],[]
MSR1,0,[],[],[]
PTCHD4,0,[],[],[]
CPLX1,0,[],[],[]
AC073968.2,0,[],[],[]
ZNF346,0,[],[],[]
PDE8A,0,[],[],[]
AC010197.1,0,[],[],[]
FAXC,0,[],[],[]
AC108690.1,0,[],[],[]
CASC8,0,[],[],[]
C16orf96,0,[],[],[]
GPI,0,[],[],[]
NUP85,0,[],[],[]
RBM4B,0,[],[],[]
UTP18,0,[],[],[]
LYPD5,0,[],[],[]
NOL4L,0,[],[],[]
AC017083.3,0,[],[],[]
PSMA4,0,[],[],[]
UQCRC2,0,[],[],[]
AHCY,0,[],[],[]
LINC01986,0,[],[],[]
DPRX,0,[],[],[]
CAPN1,0,[],[],[]
CWC22,0,[],[],[]
CEP112,0,[],[],[]
TCP11L1,0,[],[],[]
SMYD4,0,[],[],[]
SEZ6,0,[],[],[]
LITAF,0,[],[],[]
DPYSL5,0,[],[],[]
LPXN,0,[],[],[]
SBF2,0,[],[],[]
NCKAP5,0,[],[],[]
AC008438.2,0,[],[],[]
OSTCP1,0,[],[],[]
CDK12,0,[],[],[]
VMP1,0,[],[],[]
PSMD12,0,[],[],[]
ZNF821,0,[],[],[]
GNAO1,0,[],[],[]
PITPNC1,0,[],[],[]
CDKAL1,0,[],[],[]
AKR1C4,0,[],[],[]
CUEDC1,0,[],[],[]
PHACTR3,0,[],[],[]
TNFAIP8,0,[],[],[]
AC022498.1,0,[],[],[]
MPP5,0,[],[],[]
PACS2,0,[],[],[]
PLCL2-AS1,0,[],[],[]
AC106729.1,0,[],[],[]
PREX1,0,[],[],[]
LINC01184,0,[],[],[]
TTLL1,0,[],[],[]
LINC00243,0,[],[],[]
AC018714.2,0,[],[],[]
