partner,#_occurences,labs_found_in,cells_found_in,partners
AL391840.3,24,"['ccle', 'ccle', 'ccle', 'ccle', 'ccle', 'ccle', 'ccle', 'ccle', 'ccle', 'gcsi', 'gcsi', 'gcsi', 'gcsi', 'gcsi', 'gcsi', 'gcsi', 'gcsi', 'gdsc', 'gdsc', 'gdsc', 'gdsc', 'gdsc', 'gdsc', 'gdsc']","['NCI-H510A', 'Set-2', 'SW948', 'YAPC', 'SR', 'SW1573', 'SNU-C1', 'C2BBe1', 'KU812', 'NCI-H510A', 'HCT-15', 'YAPC', 'SNU-C1', 'U-266', 'C2BBe1', 'SUIT-2', 'KU812', 'NCI-H510A', 'KNS-62', 'YAPC', 'SW1573', 'SW780', 'C2BBe1', 'KU812']","['SH3BGRL2', 'SH3BGRL2', 'SH3BGRL2', 'SH3BGRL2', 'SH3BGRL2', 'SH3BGRL2', 'SH3BGRL2', 'SH3BGRL2', 'SH3BGRL2', 'SH3BGRL2', 'SH3BGRL2', 'SH3BGRL2', 'SH3BGRL2', 'SH3BGRL2', 'SH3BGRL2', 'SH3BGRL2', 'SH3BGRL2', 'SH3BGRL2', 'SH3BGRL2', 'SH3BGRL2', 'SH3BGRL2', 'SH3BGRL2', 'SH3BGRL2', 'SH3BGRL2']"
PFKFB3,10,"['ccle', 'ccle', 'gcsi', 'gcsi', 'gdsc', 'gdsc', 'gdsc', 'gdsc', 'gdsc', 'gdsc']","['SR', 'SW48', 'HT-115', 'SR', 'UACC-812', 'SW837', 'SW1463', 'ZR-75-30', 'SW1573', 'SW1116']","['LINC02649', 'LINC02649', 'LINC02649', 'LINC02649', 'LINC02649', 'LINC02649', 'LINC02649', 'LINC02649', 'LINC02649', 'LINC02649']"
CASC19,10,"['ccle', 'ccle', 'gcsi', 'gcsi', 'gdsc', 'gdsc']","['HCT-15', 'HT-115', 'HCT-15', 'HT-115', 'HCT-15', 'HT-115']","['CASC8', 'AC018714.2', 'CASC8', 'AC018714.2', 'CASC8', 'CASC8', 'AC018714.2', 'CASC8', 'CASC8', 'AC018714.2']"
DDX5,9,"['ccle', 'gcsi', 'gdsc']","['ZR-75-30', 'ZR-75-30', 'ZR-75-30']","['DEPTOR', 'AP005717.2', 'AC233699.1', 'AP005717.2', 'DEPTOR', 'AC233699.1', 'DEPTOR', 'AP005717.2', 'AC233699.1']"
AC068756.1,9,"['ccle', 'ccle', 'gcsi', 'gcsi', 'gcsi', 'gdsc', 'gdsc', 'gdsc', 'gdsc']","['SW620', 'COLO-741', 'NCI-H510A', 'SW620', 'KNS-62', 'NCI-H510A', 'SW620', 'HCC1806', 'KNS-62']","['AC108690.1', 'AC108690.1', 'AC108690.1', 'AC108690.1', 'AC108690.1', 'AC108690.1', 'AC108690.1', 'AC108690.1', 'AC108690.1']"
AL353138.1,9,"['ccle', 'ccle', 'ccle', 'gcsi', 'gcsi', 'gdsc', 'gdsc', 'gdsc', 'gdsc']","['MDST8', 'SW1573', 'CL-40', 'MDST8', 'SW1573', 'HCT-116', 'MDST8', 'SW1573', 'CL-40']","['PTCHD4', 'PTCHD4', 'PTCHD4', 'PTCHD4', 'PTCHD4', 'PTCHD4', 'PTCHD4', 'PTCHD4', 'PTCHD4']"
BCAS3,8,"['ccle', 'gcsi', 'gdsc']","['ZR-75-30', 'ZR-75-30', 'ZR-75-30']","['HOXB9', 'TMEM71', 'HOXB9', 'TMEM71', 'HOXB9', 'TMEM71', 'COL14A1', 'HOXB8']"
AKAP13,8,"['ccle', 'ccle', 'gcsi', 'gcsi', 'gcsi', 'gdsc', 'gdsc', 'gdsc']","['SW620', 'HCC1187', 'SW620', 'SUIT-2', 'HCC1187', 'SW620', 'SUIT-2', 'HCC1187']","['PDE8A', 'PDE8A', 'PDE8A', 'AC044860.3', 'PDE8A', 'PDE8A', 'AC044860.3', 'PDE8A']"
AC004009.1,8,"['ccle', 'ccle', 'gcsi', 'gcsi', 'gcsi', 'gdsc', 'gdsc', 'gdsc']","['HT-115', 'CL-40', 'HT-115', 'YAPC', 'CL-40', 'HT-115', 'YAPC', 'CL-40']","['AC007130.1', 'AC007130.1', 'AC007130.1', 'AC007130.1', 'AC007130.1', 'AC007130.1', 'AC007130.1', 'AC007130.1']"
LDLR,7,"['ccle', 'gcsi', 'gdsc', 'nci60']","['DU-145', 'DU-145', 'DU-145', 'DU-145']","['RPL31P11', 'AL451067.1', 'RPL31P11', 'AL451067.1', 'RPL31P11', 'AL451067.1', 'RPL31P11']"
