partner,#_occurences,labs_found_in,cells_found_in,partners
AL391840.3,24,"['ccle', 'ccle', 'ccle', 'ccle', 'ccle', 'ccle', 'ccle', 'ccle', 'ccle', 'gcsi', 'gcsi', 'gcsi', 'gcsi', 'gcsi', 'gcsi', 'gcsi', 'gcsi', 'gdsc', 'gdsc', 'gdsc', 'gdsc', 'gdsc', 'gdsc', 'gdsc']","['NCI-H510A', 'Set-2', 'SW948', 'YAPC', 'SR', 'SW1573', 'SNU-C1', 'C2BBe1', 'KU812', 'NCI-H510A', 'HCT-15', 'YAPC', 'SNU-C1', 'U-266', 'C2BBe1', 'SUIT-2', 'KU812', 'NCI-H510A', 'KNS-62', 'YAPC', 'SW1573', 'SW780', 'C2BBe1', 'KU812']","['SH3BGRL2', 'SH3BGRL2', 'SH3BGRL2', 'SH3BGRL2', 'SH3BGRL2', 'SH3BGRL2', 'SH3BGRL2', 'SH3BGRL2', 'SH3BGRL2', 'SH3BGRL2', 'SH3BGRL2', 'SH3BGRL2', 'SH3BGRL2', 'SH3BGRL2', 'SH3BGRL2', 'SH3BGRL2', 'SH3BGRL2', 'SH3BGRL2', 'SH3BGRL2', 'SH3BGRL2', 'SH3BGRL2', 'SH3BGRL2', 'SH3BGRL2', 'SH3BGRL2']"
CASC19,10,"['ccle', 'ccle', 'gcsi', 'gcsi', 'gdsc', 'gdsc']","['HCT-15', 'HT-115', 'HCT-15', 'HT-115', 'HCT-15', 'HT-115']","['CASC8', 'AC018714.2', 'CASC8', 'AC018714.2', 'CASC8', 'CASC8', 'AC018714.2', 'CASC8', 'CASC8', 'AC018714.2']"
DDX5,9,"['ccle', 'gcsi', 'gdsc']","['ZR-75-30', 'ZR-75-30', 'ZR-75-30']","['DEPTOR', 'AP005717.2', 'AC233699.1', 'AP005717.2', 'DEPTOR', 'AC233699.1', 'DEPTOR', 'AP005717.2', 'AC233699.1']"
AC068756.1,9,"['ccle', 'ccle', 'gcsi', 'gcsi', 'gcsi', 'gdsc', 'gdsc', 'gdsc', 'gdsc']","['SW620', 'COLO-741', 'NCI-H510A', 'SW620', 'KNS-62', 'NCI-H510A', 'SW620', 'HCC1806', 'KNS-62']","['AC108690.1', 'AC108690.1', 'AC108690.1', 'AC108690.1', 'AC108690.1', 'AC108690.1', 'AC108690.1', 'AC108690.1', 'AC108690.1']"
AL353138.1,9,"['ccle', 'ccle', 'ccle', 'gcsi', 'gcsi', 'gdsc', 'gdsc', 'gdsc', 'gdsc']","['MDST8', 'SW1573', 'CL-40', 'MDST8', 'SW1573', 'HCT-116', 'MDST8', 'SW1573', 'CL-40']","['PTCHD4', 'PTCHD4', 'PTCHD4', 'PTCHD4', 'PTCHD4', 'PTCHD4', 'PTCHD4', 'PTCHD4', 'PTCHD4']"
BCAS3,8,"['ccle', 'gcsi', 'gdsc']","['ZR-75-30', 'ZR-75-30', 'ZR-75-30']","['HOXB9', 'TMEM71', 'HOXB9', 'TMEM71', 'HOXB9', 'TMEM71', 'COL14A1', 'HOXB8']"
AKAP13,8,"['ccle', 'ccle', 'gcsi', 'gcsi', 'gcsi', 'gdsc', 'gdsc', 'gdsc']","['SW620', 'HCC1187', 'SW620', 'SUIT-2', 'HCC1187', 'SW620', 'SUIT-2', 'HCC1187']","['PDE8A', 'PDE8A', 'PDE8A', 'AC044860.3', 'PDE8A', 'PDE8A', 'AC044860.3', 'PDE8A']"
AC004009.1,8,"['ccle', 'ccle', 'gcsi', 'gcsi', 'gcsi', 'gdsc', 'gdsc', 'gdsc']","['HT-115', 'CL-40', 'HT-115', 'YAPC', 'CL-40', 'HT-115', 'YAPC', 'CL-40']","['AC007130.1', 'AC007130.1', 'AC007130.1', 'AC007130.1', 'AC007130.1', 'AC007130.1', 'AC007130.1', 'AC007130.1']"
LDLR,7,"['ccle', 'gcsi', 'gdsc', 'nci60']","['DU-145', 'DU-145', 'DU-145', 'DU-145']","['RPL31P11', 'AL451067.1', 'RPL31P11', 'AL451067.1', 'RPL31P11', 'AL451067.1', 'RPL31P11']"
PPM1D,7,"['ccle', 'gcsi', 'gdsc']","['ZR-75-30', 'ZR-75-30', 'ZR-75-30']","['TRAPPC9', 'RAD54B', 'TAOK1', 'TRAPPC9', 'RAD54B', 'TRAPPC9', 'RAD54B']"
AC006453.1,7,"['ccle', 'ccle', 'gcsi', 'gcsi', 'gcsi', 'gdsc', 'gdsc']","['NCI-H510A', 'KARPAS-620', 'NCI-H510A', 'KARPAS-620', 'U-266', 'NCI-H510A', 'KARPAS-620']","['FAM230C', 'FAM230C', 'FAM230C', 'FAM230C', 'FAM230C', 'FAM230C', 'FAM230C']"
AC073529.1,7,"['ccle', 'ccle', 'gcsi', 'gcsi', 'gcsi', 'gcsi', 'gdsc']","['NCI-H510A', 'HT55', 'SW837', 'NCI-H510A', 'SW1573', 'SW48', 'NCI-H510A']","['MID1', 'MID1', 'MID1', 'MID1', 'MID1', 'MID1', 'MID1']"
AC011586.2,7,"['ccle', 'ccle', 'ccle', 'gcsi', 'gcsi', 'gdsc', 'gdsc']","['SW837', 'NCI-H510A', 'KNS-62', 'NCI-H510A', 'U-266', 'NCI-H510A', 'KNS-62']","['MSR1', 'MSR1', 'MSR1', 'MSR1', 'MSR1', 'MSR1', 'MSR1']"
CU104787.1,7,"['ccle', 'ccle', 'ccle', 'gcsi', 'gcsi', 'gdsc', 'gdsc']","['NCI-H510A', 'MDA-MB-361', 'KARPAS-620', 'NCI-H510A', 'KARPAS-620', 'NCI-H510A', 'HCC1806']","['BAGE2', 'BAGE2', 'BAGE2', 'BAGE2', 'KMT2C', 'BAGE2', 'BAGE2']"
CNRIP1,7,"['ccle', 'ccle', 'ccle', 'gcsi', 'gcsi', 'gcsi', 'gdsc']","['NCI-H510A', 'Set-2', 'KU812', 'NCI-H510A', 'Set-2', 'KU812', 'Set-2']","['AC017083.3', 'AC017083.3', 'AC017083.3', 'AC017083.3', 'AC017083.3', 'AC017083.3', 'AC017083.3']"
TAOK1,6,"['ccle', 'gcsi', 'gdsc']","['ZR-75-30', 'ZR-75-30', 'ZR-75-30']","['PCGF2', 'LINC02071', 'PCGF2', 'LINC02071', 'PCGF2', 'LINC02071']"
USP32,6,"['ccle', 'gcsi', 'gdsc']","['ZR-75-30', 'ZR-75-30', 'ZR-75-30']","['CWC25', 'SMURF2', 'CWC25', 'SMURF2', 'CWC25', 'SMURF2']"
TANC2,6,"['ccle', 'gcsi', 'gdsc']","['MDA-MB-361', 'MDA-MB-361', 'MDA-MB-361']","['PSMD12', 'MTMR4', 'PSMD12', 'MTMR4', 'PSMD12', 'MTMR4']"
AC124319.1,6,"['ccle', 'ccle', 'gcsi', 'gcsi', 'gdsc', 'gdsc']","['ZR-75-30', 'SW780', 'ZR-75-30', 'SW780', 'ZR-75-30', 'SW780']","['TACC1', 'BAIAP2', 'TACC1', 'BAIAP2', 'TACC1', 'BAIAP2']"
NFE2L1,6,"['ccle', 'ccle', 'gcsi', 'gcsi', 'gdsc', 'gdsc']","['NCI-H510A', 'ZR-75-30', 'NCI-H510A', 'ZR-75-30', 'NCI-H510A', 'ZR-75-30']","['SKAP1', 'TOP1MT', 'SKAP1', 'TOP1MT', 'SKAP1', 'TOP1MT']"
PLXND1,6,"['ccle', 'ccle', 'gcsi', 'gcsi', 'gdsc', 'gdsc']","['NCI-H510A', 'HCC1187', 'NCI-H510A', 'HCC1187', 'NCI-H510A', 'HCC1187']","['TMCC1', 'TMCC1', 'TMCC1', 'TMCC1', 'TMCC1', 'TMCC1']"
SMURF2,6,"['ccle', 'ccle', 'gcsi', 'gcsi', 'gdsc', 'gdsc']","['HCC1806', 'SW1573', 'HCC1806', 'SW1573', 'HCC1806', 'SW1573']","['CEP112', 'DDX5', 'CEP112', 'DDX5', 'CEP112', 'DDX5']"
WNK1,5,"['ccle', 'gcsi', 'gdsc']","['HCC1806', 'HCC1806', 'HCC1806']","['CWC22', 'CWC22', 'USP31', 'CWC22', 'USP31']"
AL133342.1,5,"['ccle', 'gcsi', 'gcsi', 'gdsc', 'gdsc']","['KARPAS-620', 'HCC1806', 'KARPAS-620', 'HCC1806', 'KARPAS-620']","['PREX1', 'PREX1', 'PREX1', 'PREX1', 'PREX1']"
WIPF2,5,"['ccle', 'gcsi', 'gcsi', 'gdsc']","['UACC-812', 'UACC-812', 'HT-115', 'UACC-812']","['ERBB2', 'ERBB2', 'TRPV1', 'CASC3', 'ERBB2']"
PVT1,5,"['ccle', 'ccle', 'gcsi', 'gcsi', 'gdsc']","['WSU-DLCL2', 'SU-DHL-6', 'WSU-DLCL2', 'SU-DHL-6', 'SU-DHL-6']","['AC108681.1', 'ZCCHC7', 'AC108681.1', 'ZCCHC7', 'ZCCHC7']"
AC106741.1,5,"['ccle', 'ccle', 'gcsi', 'gcsi', 'gdsc']","['KARPAS-620', 'COLO-741', 'KARPAS-620', 'U-266', 'KARPAS-620']","['AC106729.1', 'AC106729.1', 'AC106729.1', 'AC106729.1', 'AC106729.1']"
MTMR3,4,"['ccle', 'gcsi', 'gdsc', 'nci60']","['HT-29', 'HT-29', 'HT-29', 'HT-29']","['APOH', 'APOH', 'APOH', 'APOH']"
MGRN1,4,"['ccle', 'gcsi', 'gdsc', 'nci60']","['HCT-15', 'HCT-15', 'HCT-15', 'HCT-15']","['C16orf96', 'C16orf96', 'C16orf96', 'C16orf96']"
PANK2,4,"['ccle', 'gcsi', 'gdsc', 'nci60']","['HCT-116', 'HCT-116', 'HCT-116', 'HCT-116']","['MAVS', 'MAVS', 'MAVS', 'MAVS']"
COMMD10,4,"['ccle', 'gcsi', 'gdsc', 'nci60']","['HCT-116', 'HCT-116', 'HCT-116', 'HCT-116']","['AP3S1', 'AP3S1', 'AP3S1', 'AP3S1']"
RTRAF,4,"['ccle', 'gcsi', 'gdsc', 'nci60']","['DU-145', 'DU-145', 'DU-145', 'DU-145']","['SLC25A21', 'SLC25A21', 'SLC25A21', 'SLC25A21']"
UBE2L3,4,"['ccle', 'gcsi', 'gdsc', 'nci60']","['DU-145', 'DU-145', 'DU-145', 'DU-145']","['KRAS', 'KRAS', 'KRAS', 'KRAS']"
PPP1R16A,4,"['ccle', 'gcsi', 'gdsc']","['ZR-75-30', 'ZR-75-30', 'ZR-75-30']","['ZFPM2-AS1', 'SLC13A2', 'ZFPM2-AS1', 'ZFPM2-AS1']"
SPRED2,4,"['ccle', 'gcsi', 'gdsc']","['SW837', 'SW837', 'SW837']","['RAB1A', 'RAB1A', 'AC007318.2', 'RAB1A']"
ARNTL2,4,"['ccle', 'gcsi', 'gdsc']","['SW620', 'SW620', 'SW620']","['AC010197.1', 'AC010197.1', 'AC010185.1', 'AC010197.1']"
TCF7L1,4,"['ccle', 'gcsi', 'gdsc']","['SW1573', 'SW1573', 'SW1573']","['TMSB10', 'TMSB10', 'TMSB10', 'AC022210.2']"
PAQR5,4,"['ccle', 'gcsi', 'gdsc']","['SNU-C1', 'SNU-C1', 'SNU-C1']","['IQCH', 'FAM169B', 'IQCH', 'IQCH']"
AC068658.1,4,"['ccle', 'gcsi', 'gdsc']","['HT-115', 'HT-115', 'HT-115']","['LINC01184', 'LINC01184', 'LINC01184', 'SLC12A2']"
PEX14,4,"['ccle', 'gcsi', 'gdsc']","['C2BBe1', 'C2BBe1', 'C2BBe1']","['PTPN14', 'PTPN14', 'AL929236.1', 'PTPN14']"
