partner,#_occurences,labs_found_in,cells_found_in,partners
ZFPM2-AS1,3,"['ccle', 'gcsi', 'gdsc']","['ZR-75-30', 'ZR-75-30', 'ZR-75-30']","['ZFPM2-AS1', 'ZFPM2-AS1', 'ZFPM2-AS1']"
SMURF2,3,"['ccle', 'gcsi', 'gdsc']","['ZR-75-30', 'ZR-75-30', 'ZR-75-30']","['SMURF2', 'SMURF2', 'SMURF2']"
LASP1,3,"['ccle', 'gcsi', 'gdsc']","['ZR-75-30', 'ZR-75-30', 'ZR-75-30']","['LASP1', 'LASP1', 'LASP1']"
BCAS3,3,"['ccle', 'gcsi', 'gdsc']","['ZR-75-30', 'ZR-75-30', 'ZR-75-30']","['BCAS3', 'BCAS3', 'BCAS3']"
PRPF3,3,"['ccle', 'gcsi', 'gdsc']","['UACC-812', 'UACC-812', 'UACC-812']","['PRPF3', 'PRPF3', 'PRPF3']"
ERBB2,3,"['ccle', 'gcsi', 'gdsc']","['UACC-812', 'UACC-812', 'UACC-812']","['ERBB2', 'ERBB2', 'ERBB2']"
AKT3,3,"['ccle', 'gcsi', 'gdsc']","['UACC-812', 'UACC-812', 'UACC-812']","['AKT3', 'AKT3', 'AKT3']"
FNDC3B,3,"['ccle', 'gcsi', 'gdsc']","['U-266', 'U-266', 'U-266']","['FNDC3B', 'FNDC3B', 'FNDC3B']"
ARFIP1,3,"['ccle', 'gcsi', 'gdsc']","['U-266', 'U-266', 'U-266']","['ARFIP1', 'ARFIP1', 'ARFIP1']"
DDX5,3,"['ccle', 'gcsi', 'gdsc']","['SW1573', 'SW1573', 'SW1573']","['DDX5', 'DDX5', 'DDX5']"
VRK3,3,"['ccle', 'gcsi', 'gdsc']","['SW1463', 'SW1463', 'SW1463']","['VRK3', 'VRK3', 'VRK3']"
RPL36AL,3,"['ccle', 'gcsi', 'gdsc']","['SW1463', 'SW1463', 'SW1463']","['RPL36AL', 'RPL36AL', 'RPL36AL']"
LRR1,3,"['ccle', 'gcsi', 'gdsc']","['SW1463', 'SW1463', 'SW1463']","['LRR1', 'LRR1', 'LRR1']"
PKHD1L1,3,"['ccle', 'gcsi', 'gdsc']","['NCI-H510A', 'NCI-H510A', 'NCI-H510A']","['PKHD1L1', 'PKHD1L1', 'PKHD1L1']"
LINC02241,3,"['ccle', 'gcsi', 'gdsc']","['NCI-H510A', 'NCI-H510A', 'NCI-H510A']","['LINC02241', 'LINC02241', 'LINC02241']"
MTMR4,3,"['ccle', 'gcsi', 'gdsc']","['MDA-MB-361', 'MDA-MB-361', 'MDA-MB-361']","['MTMR4', 'MTMR4', 'MTMR4']"
BCR,3,"['ccle', 'gcsi', 'gdsc']","['KU812', 'KU812', 'KU812']","['BCR', 'BCR', 'BCR']"
ABL1,3,"['ccle', 'gcsi', 'gdsc']","['KU812', 'KU812', 'KU812']","['ABL1', 'ABL1', 'ABL1']"
NT5DC1,3,"['ccle', 'gcsi', 'gdsc']","['HCT-15', 'HCT-15', 'HCT-15']","['NT5DC1', 'NT5DC1', 'NT5DC1']"
FRK,3,"['ccle', 'gcsi', 'gdsc']","['HCT-15', 'HCT-15', 'HCT-15']","['FRK', 'FRK', 'FRK']"
MBTD1,3,"['ccle', 'gcsi', 'gdsc']","['HCT-116', 'HCT-116', 'HCT-116']","['MBTD1', 'MBTD1', 'MBTD1']"
SLC29A4,3,"['ccle', 'gcsi', 'gdsc']","['COLO-741', 'COLO-741', 'COLO-741']","['SLC29A4', 'SLC29A4', 'SLC29A4']"
MYO18A,2,"['gcsi', 'gdsc']","['UACC-812', 'UACC-812']","['MYO18A', 'MYO18A']"
TUBA1C,2,"['gcsi', 'gdsc']","['SUIT-2', 'SUIT-2']","['TUBA1C', 'TUBA1C']"
MED13,2,"['gcsi', 'gdsc']","['MDA-MB-361', 'MDA-MB-361']","['MED13', 'MED13']"
SLC12A2,2,"['gcsi', 'gdsc']","['HT-115', 'HT-115']","['SLC12A2', 'SLC12A2']"
AC124319.1,2,"['ccle', 'gdsc']","['ZR-75-30', 'ZR-75-30']","['AC124319.1', 'AC124319.1']"
NPM1,2,"['ccle', 'gcsi']","['SR', 'SR']","['NPM1', 'NPM1']"
BRIP1,2,"['ccle', 'gcsi']","['MDA-MB-361', 'MDA-MB-361']","['BRIP1', 'BRIP1']"
ST7,2,"['ccle', 'gcsi']","['COLO-741', 'COLO-741']","['ST7', 'ST7']"
SUZ12P1,1,['gcsi'],['UACC-812'],['SUZ12P1']
ARHGAP23,1,['gcsi'],['UACC-812'],['ARHGAP23']
SMARCC1,1,['gcsi'],['HT55'],['SMARCC1']
TAOK1,1,['ccle'],['ZR-75-30'],['TAOK1']
RPA1,1,['ccle'],['WSU-DLCL2'],['RPA1']
PLEC,1,['ccle'],['SUIT-2'],['PLEC']
TTC6,1,['ccle'],['RKO'],['TTC6']
PTK2,1,['ccle'],['NCI-H510A'],['PTK2']
HDGF,0,[],[],[]
WIPF2,0,[],[],[]
SRGAP2C,0,[],[],[]
RRNAD1,0,[],[],[]
PHF12,0,[],[],[]
LMO7,0,[],[],[]
PPP1R12B,0,[],[],[]
NBPF26,0,[],[],[]
WARS2,0,[],[],[]
C1orf21,0,[],[],[]
GPC6,0,[],[],[]
ARID1A,0,[],[],[]
MLLT6,0,[],[],[]
GTF2IP20,0,[],[],[]
GRB7,0,[],[],[]
THOC2,0,[],[],[]
RBM12B,0,[],[],[]
ANKRD13C,0,[],[],[]
SPRED2,0,[],[],[]
TAB2,0,[],[],[]
ATP5F1A,0,[],[],[]
ARHGAP35,0,[],[],[]
NAP1L1,0,[],[],[]
UBE2N,0,[],[],[]
SUPT20H,0,[],[],[]
AC108865.1,0,[],[],[]
COMMD10,0,[],[],[]
PANK2,0,[],[],[]
TCF7L2,0,[],[],[]
SPAG9,0,[],[],[]
LINC00511,0,[],[],[]
MACF1,0,[],[],[]
TWSG1,0,[],[],[]
PPP4R3A,0,[],[],[]
RAP2A,0,[],[],[]
JADE2,0,[],[],[]
HDAC2,0,[],[],[]
CU104787.1,0,[],[],[]
BAZ1A,0,[],[],[]
CAPZB,0,[],[],[]
NFE2L1,0,[],[],[]
XRCC6,0,[],[],[]
R3HDM2,0,[],[],[]
AC006453.1,0,[],[],[]
ELOVL6,0,[],[],[]
PDS5B,0,[],[],[]
PDXDC2P,0,[],[],[]
KCNQ3,0,[],[],[]
FBXL3,0,[],[],[]
PPIEL,0,[],[],[]
CNRIP1,0,[],[],[]
UNC45A,0,[],[],[]
TRIO,0,[],[],[]
VPS8,0,[],[],[]
LRP12,0,[],[],[]
AL391840.3,0,[],[],[]
PLXND1,0,[],[],[]
CYLD,0,[],[],[]
AC011586.2,0,[],[],[]
AC073529.1,0,[],[],[]
TBC1D3D,0,[],[],[]
TMC5,0,[],[],[]
AC068756.1,0,[],[],[]
AC069114.1,0,[],[],[]
AL353138.1,0,[],[],[]
RAB8B,0,[],[],[]
AC139887.1,0,[],[],[]
NBEAP1,0,[],[],[]
CDH13,0,[],[],[]
NSD1,0,[],[],[]
AKAP13,0,[],[],[]
ARNTL2,0,[],[],[]
USP45,0,[],[],[]
CMC2,0,[],[],[]
CASC19,0,[],[],[]
MGRN1,0,[],[],[]
UBA2,0,[],[],[]
GGA3,0,[],[],[]
PRMT3,0,[],[],[]
NT5DC3,0,[],[],[]
PLAUR,0,[],[],[]
FYN,0,[],[],[]
FO393400.1,0,[],[],[]
TP53BP1,0,[],[],[]
PVT1,0,[],[],[]
AKAP2,0,[],[],[]
SCLT1,0,[],[],[]
HACD2,0,[],[],[]
CHP1,0,[],[],[]
RFT1,0,[],[],[]
TAX1BP1,0,[],[],[]
CDCA5,0,[],[],[]
AC010642.2,0,[],[],[]
POLA2,0,[],[],[]
WNK1,0,[],[],[]
LDLRAD3,0,[],[],[]
PRRT3-AS1,0,[],[],[]
FAM222B,0,[],[],[]
CD151,0,[],[],[]
TXNDC11,0,[],[],[]
CCDC57,0,[],[],[]
PPP1R13L,0,[],[],[]
BABAM2,0,[],[],[]
PTPRJ,0,[],[],[]
GALNT18,0,[],[],[]
GPR39,0,[],[],[]
HBEGF,0,[],[],[]
ARHGEF10L,0,[],[],[]
HS6ST2,0,[],[],[]
REEP5,0,[],[],[]
AL133342.1,0,[],[],[]
MTDH,0,[],[],[]
RIF1,0,[],[],[]
HIRA,0,[],[],[]
EZR,0,[],[],[]
TMEM104,0,[],[],[]
TANC2,0,[],[],[]
SUPT4H1,0,[],[],[]
MAP1LC3B,0,[],[],[]
TOX3,0,[],[],[]
DDX42,0,[],[],[]
CDYL,0,[],[],[]
CMTM4,0,[],[],[]
RAB22A,0,[],[],[]
PPP2R2C,0,[],[],[]
TANGO6,0,[],[],[]
AL139042.1,0,[],[],[]
STRADA,0,[],[],[]
MARVELD3,0,[],[],[]
RPSAP52,0,[],[],[]
SMG1P3,0,[],[],[]
HSD17B4,0,[],[],[]
LPP,0,[],[],[]
GPHN,0,[],[],[]
TBC1D5,0,[],[],[]
AC106741.1,0,[],[],[]
AL033530.1,0,[],[],[]
AC068658.1,0,[],[],[]
CCZ1,0,[],[],[]
PACSIN2,0,[],[],[]
FLOT1,0,[],[],[]
ST14,0,[],[],[]
AC004009.1,0,[],[],[]
CREBL2,0,[],[],[]
GPRC5A,0,[],[],[]
EIF4B,0,[],[],[]
DMPK,0,[],[],[]
CFD,0,[],[],[]
USP12,0,[],[],[]
AL611929.1,0,[],[],[]
MTMR3,0,[],[],[]
USP6NL,0,[],[],[]
ABHD12,0,[],[],[]
ATP2C1,0,[],[],[]
ZYG11B,0,[],[],[]
FAM120B,0,[],[],[]
MEGF6,0,[],[],[]
VEGFA,0,[],[],[]
SIM2,0,[],[],[]
TFEB,0,[],[],[]
CAMTA1,0,[],[],[]
TMEM120B,0,[],[],[]
SWAP70,0,[],[],[]
USP32,0,[],[],[]
PRKDC,0,[],[],[]
PPM1D,0,[],[],[]
TRPS1,0,[],[],[]
HYLS1,0,[],[],[]
CENPO,0,[],[],[]
HOXC6,0,[],[],[]
PPP1R16A,0,[],[],[]
SRCIN1,0,[],[],[]
PDP2,0,[],[],[]
ZMYM4,0,[],[],[]
PGAP3,0,[],[],[]
AC068025.2,0,[],[],[]
PRKCH,0,[],[],[]
PHF20L1,0,[],[],[]
FSIP1,0,[],[],[]
PFKFB3,0,[],[],[]
CBWD2,0,[],[],[]
CIRBP-AS1,0,[],[],[]
NEAT1,0,[],[],[]
TCF7L1,0,[],[],[]
LARP4B,0,[],[],[]
LINC02643,0,[],[],[]
ME2,0,[],[],[]
IL1RAPL1,0,[],[],[]
CLTC,0,[],[],[]
FGFR3,0,[],[],[]
GSN,0,[],[],[]
RABGAP1,0,[],[],[]
CCDC18-AS1,0,[],[],[]
USP54,0,[],[],[]
RBM6,0,[],[],[]
PPP1R12A,0,[],[],[]
FCHSD2,0,[],[],[]
DNAJC3,0,[],[],[]
PRSS3,0,[],[],[]
TNIP2,0,[],[],[]
LRCH1,0,[],[],[]
FHOD3,0,[],[],[]
MAFK,0,[],[],[]
MYO1D,0,[],[],[]
PRKAG2,0,[],[],[]
PRKRIP1,0,[],[],[]
ARHGAP10,0,[],[],[]
APIP,0,[],[],[]
CEMIP,0,[],[],[]
CYFIP1,0,[],[],[]
CHD2,0,[],[],[]
RAB14,0,[],[],[]
FAN1,0,[],[],[]
LMNTD2,0,[],[],[]
PAQR5,0,[],[],[]
SPG11,0,[],[],[]
SLC33A1,0,[],[],[]
POU2F2,0,[],[],[]
ICMT,0,[],[],[]
RTRAF,0,[],[],[]
UBE2L3,0,[],[],[]
LDLR,0,[],[],[]
CASP7,0,[],[],[]
AC245140.2,0,[],[],[]
MAP7,0,[],[],[]
MMP24OS,0,[],[],[]
RABEP1,0,[],[],[]
ARRDC1,0,[],[],[]
COX16,0,[],[],[]
GAB1,0,[],[],[]
AC097374.1,0,[],[],[]
MED28,0,[],[],[]
DPP3,0,[],[],[]
BRCA2,0,[],[],[]
PEX14,0,[],[],[]
AP003327.2,0,[],[],[]
HNF4A,0,[],[],[]
ROCK2,0,[],[],[]
MCUB,0,[],[],[]
ARHGEF40,0,[],[],[]
REV3L,0,[],[],[]
RNF41,0,[],[],[]
ZNF462,0,[],[],[]
AC104035.1,0,[],[],[]
PARGP1,0,[],[],[]
CTNND1,0,[],[],[]
MIA2,0,[],[],[]
PUM1,0,[],[],[]
AGPAT5,0,[],[],[]
KMT2E,0,[],[],[]
PPFIBP1,0,[],[],[]
CTCF,0,[],[],[]
POFUT1,0,[],[],[]
SEC22B,0,[],[],[]
ALDOA,0,[],[],[]
ANKRD40,0,[],[],[]
KLK5,0,[],[],[]
OR51S1,0,[],[],[]
AC027682.4,0,[],[],[]
DUXAP10,0,[],[],[]
LINC01535,0,[],[],[]
SNHG3,0,[],[],[]
UPF3A,0,[],[],[]
CDK13,0,[],[],[]
