partner,#_occurences,labs_found_in,cells_found_in,partners
AL451067.1,3,"['ccle', 'gcsi', 'gdsc']","['DU-145', 'DU-145', 'DU-145']","['LDLR', 'LDLR', 'LDLR']"
PLEKHS1,3,"['ccle', 'gcsi', 'gdsc']","['DU-145', 'DU-145', 'DU-145']","['CASP7', 'CASP7', 'CASP7']"
TKTL1,3,"['ccle', 'gcsi', 'gdsc']","['DU-145', 'DU-145', 'DU-145']","['AC245140.2', 'AC245140.2', 'AC245140.2']"
TRRAP,3,"['ccle', 'gcsi', 'gdsc']","['COLO-741', 'COLO-741', 'COLO-741']","['SLC29A4', 'SLC29A4', 'SLC29A4']"
ASIC2,3,"['ccle', 'gcsi', 'gdsc']","['COLO-741', 'COLO-741', 'COLO-741']","['MYO1D', 'MYO1D', 'MYO1D']"
SLC29A4,3,"['ccle', 'gcsi', 'gdsc']","['COLO-741', 'COLO-741', 'COLO-741']","['MAFK', 'MAFK', 'MAFK']"
DLGAP1,3,"['ccle', 'gcsi', 'gdsc']","['COLO-741', 'COLO-741', 'COLO-741']","['FHOD3', 'FHOD3', 'FHOD3']"
PTPN14,3,"['ccle', 'gcsi', 'gdsc']","['C2BBe1', 'C2BBe1', 'C2BBe1']","['PEX14', 'PEX14', 'PEX14']"
SLC46A1,3,"['ccle', 'gcsi', 'gdsc']","['C2BBe1', 'C2BBe1', 'C2BBe1']","['DPP3', 'DPP3', 'DPP3']"
N4BP2L2,3,"['ccle', 'gcsi', 'gdsc']","['C2BBe1', 'C2BBe1', 'C2BBe1']","['BRCA2', 'BRCA2', 'BRCA2']"
AP003500.1,3,"['ccle', 'gcsi', 'gdsc']","['C2BBe1', 'C2BBe1', 'C2BBe1']","['AP003327.2', 'AP003327.2', 'AP003327.2']"
