ccle,edgren,gcsi,gray,uhn

ntools,cell,accuracy,precision,#TP,#GT,#FP,TP_list,FP_list
3,MCF7,0.13333333333333333,0.6666666666666666,2,15,1,"['BCAS4--BCAS3', 'ARFGEF2--SULF2']",['FOXA1--TTC6']
3,SKBR3,0.08333333333333333,1.0,1,12,0,['TATDN1--GSDMB'],[]
4,BT474,0.0,0,0,23,0,[],[]
4,KPL4,0.0,0,0,3,0,[],[]
4,MCF7,0.0,0,0,15,0,[],[]
4,SKBR3,0.0,0,0,12,0,[],[]
5,BT474,0.0,0,0,23,0,[],[]
5,KPL4,0.0,0,0,3,0,[],[]
5,MCF7,0.0,0,0,15,0,[],[]
5,SKBR3,0.0,0,0,12,0,[],[]
