AC099850.1--VMP1,AC099850.1,VMP1
ADAMTS19--SLC27A6,ADAMTS19,SLC27A6
AHCYL1--RAD51C,AHCYL1,RAD51C
ARFGEF2--SULF2,ARFGEF2,SULF2
ARHGAP19--DRG1,ARHGAP19,DRG1
ATXN7L3--FAM171A2,ATXN7L3,FAM171A2
BCAS4--BCAS3,BCAS4,BCAS3
GCN1L1--MSI1,GCN1L1,MSI1
MYH9--EIF3D,MYH9,EIF3D
MYO9B--FCHO1,MYO9B,FCHO1
PAPOLA--AK7,PAPOLA,AK7
RPS6KB1--DIAPH3,RPS6KB1,DIAPH3
RPS6KB1--VMP1,RPS6KB1,VMP1
SMARCA4--CARM1,SMARCA4,CARM1
SULF2--PRICKLE2,SULF2,PRICKLE2
