gray,uhn

ndatasets,cell,accuracy,precision,#TP,#GT,#FP,TP_list,FP_list
1,BT474,0.9565217391304348,0.5365853658536586,22,23,19,"['THRA--AC090627.1', 'RPS6KB1--SNF8', 'ACACA--STAC2', 'ZMYND8--CEP250', 'MED1--ACSF2', 'STX16--RAE1', 'VAPB--IKZF3', 'MED1--STXBP4', 'FAM102A--CIZ1', 'RAB22A--MYO9B', 'TRPC4AP--MRPL45', 'TOB1--SYNRG', 'GLB1--CMTM7', 'MED13--BCAS3', 'AHCTF1--NAAA', 'SKA2--MYO19', 'STARD3--DOK5', 'PIP4K2B--RAD51C', 'LAMP1--MCF2L', 'DIDO1--TTI1', 'USP32--MED1', 'CPNE1--PI3']","['AL669831.3--MALAT1', 'SDHD--AP003973.3', 'ASTN2--AL354754.1', 'PPP1R12A--MGAT4C', 'FLNB--COL5A2', 'TRIM37--MYO19', 'HNRNPA2B1--MALAT1', 'NVL--ENAH', 'CYP4F3--ILVBL', 'VAPB--APCDD1L-DT', 'MEF2D--OR10J1', 'BCAS3--AC034268.2', 'KAT6A--PLAT', 'YWHAB--YWHAZ', 'FCHSD2--LRTOMT', 'RBM12--PI3', 'FITM2--UQCC1', 'AC025048.4--HEATR6', 'TPM4--SYCE2']"
1,MCF7,0.8666666666666667,0.15476190476190477,13,15,71,"['BCAS4--BCAS3', 'ARFGEF2--SULF2', 'RPS6KB1--VMP1', 'AC099850.1--VMP1', 'RPS6KB1--DIAPH3', 'MYO9B--FCHO1', 'PAPOLA--AK7', 'SMARCA4--CARM1', 'ADAMTS19--SLC27A6', 'AHCYL1--RAD51C', 'MYH9--EIF3D', 'SULF2--PRICKLE2', 'ATXN7L3--FAM171A2']","['ATP1A1--ZFP64', 'TANC2--CA4', 'GCN1--MSI1', 'MKRN1--CLDN15', 'DEPDC1B--ELOVL7', 'SMARCC1--EMCN', 'TXLNG--SYAP1', 'RSBN1--AP4B1-AS1', 'ELP2--FP236383.1', 'TBL1XR1--RGS17', 'BCAS3--ATXN7', 'HACD2--MYLK', 'GATAD2B--NUP210L', 'ABCA5--PPP4R1L', 'NAV1--GPR37L1', 'MTAP--CDKN2B-AS1', 'MYO6--SENP6', 'POP1--MATN2', 'AC011921.1--PLPPR5', 'EIF3H--RAD21', 'ATP9A--AL357558.2', 'COP1--ASTN1', 'DENND2C--AC005914.1', 'VAV3--AP4B1-AS1', 'ARRB1--KLHL35', 'ESR1--CCDC170', 'RPS6KB1--CLTC', 'PNPLA7--DPH7', 'HIPK1--DENND2C', 'TAF4--BRIP1', 'AC114498.2--HSP90AB1', 'AL669831.3--MALAT1', 'MYH9--AC011505.1', 'PCBP2--ATF7', 'DNAJB6--UBE3C', 'VPS35L--IQCK', 'BCAS3--REG4', 'GSN--SMIM22', 'SYTL2--PICALM', 'BMERB1--ABCC1', 'FNIP1--MEIKIN', 'SLC25A24--NBPF6', 'RAD51C--ATXN7', 'TRIM37--DHX40', 'SPTLC1--AL445231.1', 'GREB1--LINC00570', 'ABCA1--KIAA1324', 'SLC25A24--SARS', 'VAV3--AL137856.1', 'NCOA3--AC005808.1', 'USP31--CRYL1', 'CRYL1--GP2', 'AC103770.1--TMEM64', 'TTC6--AL121790.1', 'RBM6--BCAR1', 'NPEPPS--EFCAB13', 'MIR4713HG--GLDN', 'FAM49B--ASAP1', 'KCND3--PPM1E', 'SARNP--MMP19', 'AC244154.1--GPR179', 'LEMD3--AC002375.1', 'NFATC2--AL356585.2', 'BCAS3--AMPD1', 'AC005037.1--NIF3L1', 'ZMYND8--USP32', 'GIGYF2--EIF4E2', 'MAN1A2--CBLN4', 'PARD6B--BCAS3', 'ARHGAP10--EDNRA', 'MED16--TMEM259']"
1,SKBR3,0.75,0.25,9,12,27,"['TATDN1--GSDMB', 'CYTH1--EIF3H', 'CSE1L--AL035685.1', 'CCDC85C--SETD3', 'PREX1--CPNE1', 'SUMF1--LRRFIP2', 'KLHDC2--SNTB1', 'DHX35--ITCH', 'RARA--PKIA']","['ANKHD1-EIF4EBP3--PCDH1', 'NCOA2--AC004083.1', 'VSTM2L--CTNNBL1', 'SSU72--SLC35E2B', 'EPS8L2--PYCR1', 'SLC25A6--P4HB', 'STAG3L5P--SIVA1', 'CFAP73--TPCN1', 'ATAD5--TLK2', 'KCNK3--SRRM2', 'SEC24C--PRPF6', 'SBF1--LMNA', 'ZNF740--SUCLG1', 'TAF2--COLEC10', 'SAMD12--MRPL13', 'TBC1D31--ZNF704', 'SAMD12-AS1--COLEC10', 'LGALS8--EDARADD', 'TRIO--FBXL7', 'NF1--RNF135', 'IQSEC1--MBNL1', 'LINC00271--PDE7B', 'MMP24OS--EDEM2', 'ACOT8--WASH3P', 'AC093515.1--SLC12A4', 'TMED3--MINAR1', 'PRKCH--AL355916.1']"
2,BT474,0.7391304347826086,0.7083333333333334,17,23,7,"['THRA--AC090627.1', 'RPS6KB1--SNF8', 'ACACA--STAC2', 'ZMYND8--CEP250', 'MED1--ACSF2', 'STX16--RAE1', 'VAPB--IKZF3', 'MED1--STXBP4', 'FAM102A--CIZ1', 'RAB22A--MYO9B', 'TRPC4AP--MRPL45', 'TOB1--SYNRG', 'GLB1--CMTM7', 'MED13--BCAS3', 'AHCTF1--NAAA', 'SKA2--MYO19', 'PIP4K2B--RAD51C']","['ASTN2--AL354754.1', 'PPP1R12A--MGAT4C', 'TRIM37--MYO19', 'MEF2D--OR10J1', 'BCAS3--AC034268.2', 'KAT6A--PLAT', 'FCHSD2--LRTOMT']"
2,MCF7,0.6666666666666666,0.30303030303030304,10,15,23,"['BCAS4--BCAS3', 'ARFGEF2--SULF2', 'RPS6KB1--VMP1', 'AC099850.1--VMP1', 'RPS6KB1--DIAPH3', 'MYO9B--FCHO1', 'PAPOLA--AK7', 'SMARCA4--CARM1', 'ADAMTS19--SLC27A6', 'AHCYL1--RAD51C']","['ATP1A1--ZFP64', 'TANC2--CA4', 'GCN1--MSI1', 'DEPDC1B--ELOVL7', 'SMARCC1--EMCN', 'TXLNG--SYAP1', 'RSBN1--AP4B1-AS1', 'ELP2--FP236383.1', 'TBL1XR1--RGS17', 'BCAS3--ATXN7', 'GATAD2B--NUP210L', 'ABCA5--PPP4R1L', 'NAV1--GPR37L1', 'MTAP--CDKN2B-AS1', 'MYO6--SENP6', 'AC011921.1--PLPPR5', 'EIF3H--RAD21', 'ATP9A--AL357558.2', 'DENND2C--AC005914.1', 'VAV3--AP4B1-AS1', 'ESR1--CCDC170', 'HIPK1--DENND2C', 'TAF4--BRIP1']"
2,SKBR3,0.5833333333333334,0.7,7,12,3,"['TATDN1--GSDMB', 'CYTH1--EIF3H', 'CSE1L--AL035685.1', 'CCDC85C--SETD3', 'SUMF1--LRRFIP2', 'KLHDC2--SNTB1', 'DHX35--ITCH']","['ANKHD1-EIF4EBP3--PCDH1', 'VSTM2L--CTNNBL1', 'ATAD5--TLK2']"
