gcsi,edgren

ndatasets,cell,accuracy,precision,#TP,#GT,#FP,TP_list,FP_list
1,BT474,0.9565217391304348,0.5,22,23,22,"['THRA--AC090627.1', 'RPS6KB1--SNF8', 'ZMYND8--CEP250', 'ACACA--STAC2', 'FAM102A--CIZ1', 'TOB1--SYNRG', 'AHCTF1--NAAA', 'STX16--RAE1', 'MED1--ACSF2', 'MED1--STXBP4', 'TRPC4AP--MRPL45', 'STARD3--DOK5', 'VAPB--IKZF3', 'MED13--BCAS3', 'RAB22A--MYO9B', 'SKA2--MYO19', 'GLB1--CMTM7', 'PIP4K2B--RAD51C', 'USP32--MED1', 'DIDO1--TTI1', 'CPNE1--PI3', 'LAMP1--MCF2L']","['SDHD--AP003973.3', 'ASTN2--AL354754.1', 'MEF2D--OR10J1', 'PPP1R12A--MGAT4C', 'FITM2--UQCC1', 'TPM4--SYCE2', 'TRIM37--MYO19', 'BRD4--RFX1', 'NCOA2--ZNF704', 'RBM12--PI3', 'BCAS3--AC034268.2', 'AC025048.4--HEATR6', 'ZFP64--PHACTR3', 'RRM1--TRIM68', 'NVL--ENAH', 'CYP4F8--ILVBL', 'TJP1--AC111152.1', 'PPP1R9A--WDR66', 'ERN1--TBC1D3P1', 'ACSL3--SGPP2', 'POLA2--MAP3K11', 'TADA2A--AL589743.4']"
1,MCF7,0.8,0.1935483870967742,12,15,50,"['BCAS4--BCAS3', 'RPS6KB1--VMP1', 'ARFGEF2--SULF2', 'AC099850.1--VMP1', 'ADAMTS19--SLC27A6', 'SMARCA4--CARM1', 'MYO9B--FCHO1', 'ATXN7L3--FAM171A2', 'PAPOLA--AK7', 'RPS6KB1--DIAPH3', 'AHCYL1--RAD51C', 'SULF2--PRICKLE2']","['SLC25A24--NBPF6', 'SYTL2--PICALM', 'DEPDC1B--ELOVL7', 'RSBN1--AP4B1-AS1', 'TXLNG--SYAP1', 'GCN1--MSI1', 'BCAS3--REG4', 'VPS35L--IQCK', 'GIGYF2--EIF4E2', 'ATP1A1--ZFP64', 'TANC2--CA4', 'TTC6--AL121790.1', 'SMARCC1--EMCN', 'USP31--CRYL1', 'POP1--MATN2', 'GATAD2B--NUP210L', 'MYO6--SENP6', 'TAF4--BRIP1', 'NAV1--GPR37L1', 'ESR1--CCDC170', 'GBF1--MACROD2', 'BCAS4--ZMYND8', 'RAD51C--ATXN7', 'AC011921.1--PLPPR5', 'ELP2--FP236383.1', 'DENND2C--AC005914.1', 'AC103770.1--TMEM64', 'SPTLC1--AL445231.1', 'SMG6--RTN4RL1', 'GRHL2--AP001330.1', 'AC010173.1--SLC16A7', 'PARD6B--BCAS3', 'TBL1XR1--RGS17', 'MAN1A2--CBLN4', 'MTAP--CDKN2B-AS1', 'ABCA5--PPP4R1L', 'MACROD2--C14orf132', 'YWHAE--MYO1C', 'HIPK1--DENND2C', 'HAND2-AS1--LINC02269', 'EIF3H--RAD21', 'RBM6--BCAR1', 'NFATC2--AP000550.3', 'LRP1B--PLXDC1', 'AC114498.2--RPL13A', 'BPTF--PITPNC1', 'BMERB1--ABCC1', 'AC053481.3--DIAPH3', 'AL133342.1--PREX1', 'AL669831.3--NME2']"
1,SKBR3,0.75,0.3333333333333333,9,12,18,"['TATDN1--GSDMB', 'CYTH1--EIF3H', 'SUMF1--LRRFIP2', 'RARA--PKIA', 'CSE1L--AL035685.1', 'CCDC85C--SETD3', 'PREX1--CPNE1', 'KLHDC2--SNTB1', 'DHX35--ITCH']","['VSTM2L--CTNNBL1', 'TAF2--COLEC10', 'TRAM1--AC004083.1', 'SAMD12--MRPL13', 'ACOT8--WASH3P', 'ANKHD1-EIF4EBP3--PCDH1', 'KPNA6--KHDRBS1', 'HSPBP1--AC020922.2', 'TRIO--FBXL7', 'CSNK2A1--PREX1', 'PRKCH--AL355916.1', 'TRAM1--THOC7', 'TRIM5--AC104389.4', 'ACOT11--AL603840.1', 'SNHG3--UBE2D2', 'TBC1D31--ZNF704', 'ACOT8--WASH2P', 'ATAD5--TLK2']"
2,BT474,0.8695652173913043,0.8,20,23,5,"['THRA--AC090627.1', 'RPS6KB1--SNF8', 'ZMYND8--CEP250', 'ACACA--STAC2', 'TOB1--SYNRG', 'AHCTF1--NAAA', 'STX16--RAE1', 'MED1--ACSF2', 'MED1--STXBP4', 'TRPC4AP--MRPL45', 'STARD3--DOK5', 'VAPB--IKZF3', 'MED13--BCAS3', 'RAB22A--MYO9B', 'SKA2--MYO19', 'GLB1--CMTM7', 'PIP4K2B--RAD51C', 'DIDO1--TTI1', 'CPNE1--PI3', 'LAMP1--MCF2L']","['ASTN2--AL354754.1', 'TRIM37--MYO19', 'BRD4--RFX1', 'AC025048.4--HEATR6', 'ERN1--TBC1D3P1']"
2,MCF7,0.6,0.75,9,15,3,"['BCAS4--BCAS3', 'RPS6KB1--VMP1', 'ARFGEF2--SULF2', 'AC099850.1--VMP1', 'ADAMTS19--SLC27A6', 'SMARCA4--CARM1', 'MYO9B--FCHO1', 'PAPOLA--AK7', 'SULF2--PRICKLE2']","['RSBN1--AP4B1-AS1', 'TXLNG--SYAP1', 'ATP1A1--ZFP64']"
2,SKBR3,0.5,0.75,6,12,2,"['TATDN1--GSDMB', 'CYTH1--EIF3H', 'SUMF1--LRRFIP2', 'RARA--PKIA', 'CSE1L--AL035685.1', 'CCDC85C--SETD3']","['ANKHD1-EIF4EBP3--PCDH1', 'TBC1D31--ZNF704']"
