dataset,cell_line,#_fusions_predicted,fusion_pred_list
gdsc,HCC1806,53,"['PTPRJ--LPXN', 'CDCA5--LINC01986', 'RFT1--UQCRC2', 'SMURF2--CEP112', 'SMURF2--CEP112', 'CDCA5--LINC01986', 'TAX1BP1--AHCY', 'POLA2--CAPN1', 'WNK1--CWC22', 'LDLRAD3--TCP11L1', 'TXNDC11--LITAF', 'FAM222B--SEZ6', 'HBEGF--AC008438.2', 'PRRT3-AS1--TTLL3', 'AC010642.2--DPRX', 'RPA1--SMYD4', 'BABAM2--DPYSL5', 'GALNT18--SBF2', 'ARHGEF10L--PADI6', 'CD151--DRD4', 'CD151--DRD4', 'FAM222B--SEZ6', 'FAM222B--SEZ6', 'CD151--DRD4', 'ASAP2--AC093904.2', 'ASAP2--AC093904.2', 'CD151--DRD4', 'FAM222B--SEZ6', 'CD151--DRD4', 'CD151--DRD4', 'CD151--DRD4', 'WNK1--USP31', 'GALNT18--SBF2', 'PPP1R13L--PVR', 'HS6ST2--GPC3', 'AL133342.1--PREX1', 'RIF1--PKD1L1', 'GALNT18--SBF2', 'GPR39--NCKAP5', 'ZC3H7B--ERBB3', 'TPX2--COX4I2', 'AL033504.1--SASH1', 'CHEK2--TTC28', 'TPX2--COX4I2', 'HIRA--ARVCF', 'REEP5--MCC', 'CCDC57--CSNK1D', 'HS6ST2--GPC3', 'MTDH--AP003465.1', 'CU104787.1--BAGE2', 'MTDH--AP003465.1', 'HS6ST2--GPC3', 'AC068756.1--AC108690.1']"
gdsc,MDA-MB-361,23,"['TMEM104--CDK12', 'EZR--OSTCP1', 'TMEM104--CDK12', 'BRIP1--VMP1', 'SUPT4H1--CEP112', 'CMTM4--AKR1C4', 'CDYL--CDKAL1', 'TTC6--MIPOL1', 'TMEM104--CDK12', 'MAP1LC3B--ZNF821', 'TOX3--GNAO1', 'DDX42--PITPNC1', 'CDYL--CDKAL1', 'CMTM4--AKR1C4', 'TANC2--PSMD12', 'MARVELD3--GALNS', 'MTMR4--CUEDC1', 'TANC2--MTMR4', 'TANC2--PSMD12', 'USP22--RN7SL2', 'RAB22A--PHACTR3', 'AL139042.1--CNR1', 'STRADA--MED13']"
gdsc,RKO,1,['RPSAP52--HMGA2']
gdsc,KNS-62,9,"['SMG1P3--GNPTG', 'SMG1P3--GNPTG', 'GNPTG--MRTFB', 'HSD17B4--TNFAIP8', 'LPP--AC022498.1', 'AC011586.2--MSR1', 'HSD17B4--TNFAIP8', 'AL391840.3--SH3BGRL2', 'AC068756.1--AC108690.1']"
gdsc,LS-180,1,['GPHN--MPP5']
gdsc,KARPAS-620,8,"['SMARCC1--PACS2', 'TBC1D5--PLCL2-AS1', 'SMARCC1--PACS2', 'AC106741.1--AC106729.1', 'AC006453.1--FAM230C', 'AL133342.1--PREX1', 'BCL2L11--LINC01943', 'AL033530.1--AL691520.1']"
gdsc,HT-115,25,"['AC068658.1--LINC01184', 'CCZ1--OCM', 'FLOT1--LINC00243', 'PACSIN2--TTLL1', 'CASC19--CASC8', 'CASC19--CASC8', 'EIF4B--KRT18', 'CASC19--CASC8', 'ST14--LINC01184', 'SLC12A2--CCDC192', 'SLC12A2--CCDC192', 'AC068658.1--SLC12A2', 'GPRC5A--RPL13AP20', 'FCHSD2--LINC01184', 'CREBL2--FAM234B', 'CASC19--AC018714.2', 'CASC19--AC018714.2', 'CFD--LINC01836', 'FCHSD2--LINC01184', 'CASC19--AC018714.2', 'GPRC5A--RPL13AP20', 'PCM1--AC027117.1', 'AC004009.1--AC007130.1', 'DMPK--RSPH6A', 'CASC19--AC018714.2']"
gdsc,SW948,2,"['USP12--LINC02340', 'AL611929.1--AFDN']"
gdsc,HT-29,9,"['USP6NL--UPF2', 'MTMR3--APOH', 'MTMR3--APOH', 'ABHD12--PYGB', 'ATP2C1--LINC01208', 'ATP2C1--LINC01208', 'ZYG11B--SCP2', 'ZYG11B--SCP2', 'FAM120B--PRKN']"
gdsc,YAPC,16,"['VEGFA--KIF6', 'MEGF6--PLCH2', 'SIM2--RIPPLY3', 'CAMTA1--MRPS18A', 'VEGFA--KIF6', 'AL391840.3--SH3BGRL2', 'TFEB--TRERF1', 'TMEM120B--ORAI1', 'GLO1--USP49', 'PRSS23--AC021504.1', 'B3GALT5--AF064860.1', 'OTULIN--MYO5B', 'SWAP70--WEE1', 'MRPS18A--HCP5', 'TFEB--TRERF1', 'AC004009.1--AC007130.1']"
