fusion,#_occurences,labs_found_in,cells_found_in
FBXL13--AC105052.5,1,['gcsi'],['U-266']
AQR--RTL6,1,['gcsi'],['U-266']
LINC00508--AC025160.1,1,['gcsi'],['U-266']
RASA4--ZHX1-C8orf76,1,['gcsi'],['U-266']
AVL9--ZNRF2P1,1,['gcsi'],['U-266']
BCKDHB--AL359715.1,1,['gcsi'],['Set-2']
MAGI3--AL596275.2,1,['gcsi'],['SW837']
SPRED2--AC007318.2,1,['gcsi'],['SW837']
ZNF488--CTNNA3,1,['gcsi'],['SW780']
CTNNA3--LIPK,1,['gcsi'],['SW780']
PSMD11--RHOT1,1,['gcsi'],['SW780']
FHOD3--SLC25A4,1,['gcsi'],['SW780']
ACTN4--EEF1A1,1,['gcsi'],['SW780']
ARNTL2--AC010185.1,1,['gcsi'],['SW620']
TSKU--ACER3,1,['gcsi'],['SW48']
PTMA--HSP90AB1,1,['gcsi'],['SW48']
PSMD1--CAB39,1,['gcsi'],['SW48']
ACTB--EEF2,1,['gcsi'],['SW48']
TXNRD1--CHST11,1,['gcsi'],['SW1573']
RF01956--LTBP3,1,['gcsi'],['SW1573']
EEF1A1--CANX,1,['gcsi'],['SW1463']
AC124947.1--AC138123.1,1,['gcsi'],['SW1463']
MAVS--CDC25B,1,['gcsi'],['SW1463']
EEF2--RPL21,1,['gcsi'],['SW1463']
KANSL1--AC126544.2,1,['gcsi'],['SW1463']
CFAP69--CLDN12,1,['gcsi'],['SW1463']
RPS6KB1--VMP1,1,['gcsi'],['SUIT-2']
UTRN--AC016629.2,1,['gcsi'],['SUIT-2']
FBXO10--CBWD1,1,['gcsi'],['SU-DHL-6']
CBWD5--FBXO10,1,['gcsi'],['SU-DHL-6']
AL135905.2--EEF1A1P5,1,['gcsi'],['SU-DHL-6']
SENP3-EIF4A1--EIF5A,1,['gcsi'],['SU-DHL-6']
CDKN1A--PTP4A1,1,['gcsi'],['SU-DHL-6']
ABR--GEMIN4,1,['gcsi'],['SU-DHL-6']
AL645568.1--TNFSF4,1,['gcsi'],['SU-DHL-6']
ACTB--PTMA,1,['gcsi'],['SU-DHL-6']
CFAP299--BMP3,1,['gcsi'],['SU-DHL-5']
PGD--GNB1,1,['gcsi'],['SU-DHL-5']
CBWD1--NPM1,1,['gcsi'],['SR']
AL109761.1--CHODL,1,['gcsi'],['SR']
RASSF7--AC100768.2,1,['gcsi'],['SNU-C1']
AC133041.1--ENPP7P2,1,['gcsi'],['SNU-C1']
RPL4--TSTA3,1,['gcsi'],['RKO']
SNHG3--SNX5,1,['gcsi'],['RKO']
AC060765.2--CNGB3,1,['gcsi'],['NCI-H510A']
DUXAP9--AP000534.2,1,['gcsi'],['NCI-H510A']
PCAT1--AC084116.3,1,['gcsi'],['NCI-H510A']
AL139260.1--GRIK3,1,['gcsi'],['NCI-H510A']
UHRF1--PIAS4,1,['gcsi'],['NCI-H510A']
ADCY2--PRDM16,1,['gcsi'],['NCI-H510A']
AL033527.2--BMP8B,1,['gcsi'],['NCI-H510A']
MMP26--OR51E1,1,['gcsi'],['NCI-H510A']
FAM49B--AC103833.2,1,['gcsi'],['NCI-H510A']
AP003900.1--LINC01666,1,['gcsi'],['MDST8']
AC009226.1--AC007879.3,1,['gcsi'],['MDST8']
CCBE1--FAM168A,1,['gcsi'],['MDST8']
DOCK1--CSMD1,1,['gcsi'],['MDA-MB-361']
LRP6--STYK1,1,['gcsi'],['MDA-MB-361']
CU104787.1--KMT2C,1,['gcsi'],['KARPAS-620']
AC068446.2--AC060814.5,1,['gcsi'],['KARPAS-620']
MAP4--SMARCC1,1,['gcsi'],['HT55']
CCZ1B--OCM,1,['gcsi'],['HT-115']
CCDC34--LGR4,1,['gcsi'],['HT-115']
WIPF2--CASC3,1,['gcsi'],['HT-115']
MAP2K6--SLC12A2,1,['gcsi'],['HT-115']
TGFBR2--LINC01985,1,['gcsi'],['HT-115']
ZNF503-AS1--LRMDA,1,['gcsi'],['HT-115']
ADAP1--C7orf50,1,['gcsi'],['HT-115']
ITGA6--CDC42SE2,1,['gcsi'],['HCC1806']
TRIM44--PCMTD1,1,['gcsi'],['HCC1806']
BTG3--CHODL-AS1,1,['gcsi'],['HCC1187']
SPTSSA--EAPP,1,['gcsi'],['HCC1187']
TMX2-CTNND1--SMTNL1,1,['gcsi'],['HCC1187']
PTMS--PTMA,1,['gcsi'],['HCC1187']
FOXP4--NCR2,1,['gcsi'],['HCC1187']
SMURF1--CYP3A5,1,['gcsi'],['HCC1187']
MAGEC1--AL031073.2,1,['gcsi'],['COLO-741']
LRMDA--ZNF503-AS1,1,['gcsi'],['COLO-741']
AFG1L--FOXO3,1,['gcsi'],['COLO-741']
APC2--DAZAP1,1,['gcsi'],['COLO-741']
RAB38--AP000676.5,1,['gcsi'],['COLO-741']
SNHG3--SERINC2,1,['gcsi'],['CL-40']
PEX14--AL929236.1,1,['gcsi'],['C2BBe1']
PPP1R16A--SLC13A2,1,['ccle'],['ZR-75-30']
CBX1--PCGF2,1,['ccle'],['ZR-75-30']
PPM1D--TAOK1,1,['ccle'],['ZR-75-30']
FBXW9--GBA2,1,['ccle'],['WSU-DLCL2']
PXMP2--RPA1,1,['ccle'],['WSU-DLCL2']
AGTPBP1--AL583827.1,1,['ccle'],['U-266']
IGL@--PCBP1,1,['ccle'],['U-266']
IGL-@-ext--EEF1A1,1,['ccle'],['U-266']
ADGRE5--NOL6,1,['ccle'],['Set-2']
AL138694.1--MYO16,1,['ccle'],['Set-2']
AC123912.1--ZNF493,1,['ccle'],['Set-2']
ZBTB5--UNC13B,1,['ccle'],['SW948']
HAND2-AS1--LINC02269,1,['ccle'],['SW837']
LIMK2--DEPDC5,1,['ccle'],['SW620']
AL445647.1--MIR4500HG,1,['ccle'],['SW620']
AC118549.1--GNAS,1,['ccle'],['SW48']
ZBTB8OS--AARS,1,['ccle'],['SW48']
RING1--RPL23A,1,['ccle'],['SW48']
RPL27A--ATXN1,1,['ccle'],['SW48']
KPNB1--SBDSP1,1,['ccle'],['SW48']
RABL6--RPF1,1,['ccle'],['SW48']
RF01957--LTBP3,1,['ccle'],['SW1573']
TRIT1--LRRC59,1,['ccle'],['SW1463']
MID1--ZFX,1,['ccle'],['SW1463']
VASP--SNHG30,1,['ccle'],['SW1463']
KANSL1--GPI,1,['ccle'],['SW1463']
GALK2--PLEC,1,['ccle'],['SUIT-2']
BCL2--IGH@-ext,1,['ccle'],['SU-DHL-6']
CBWD1--FBXO10,1,['ccle'],['SU-DHL-6']
NUS1--AC114501.3,1,['ccle'],['SU-DHL-6']
FBXO10--CBWD4P,1,['ccle'],['SU-DHL-6']
AC004687.1--MCM7,1,['ccle'],['SU-DHL-5']
CBWD2--NPM1,1,['ccle'],['SR']
NUCKS1--TATDN3,1,['ccle'],['SR']
MYBL2--AL138807.1,1,['ccle'],['SR']
ATAD5--LRRC37BP1,1,['ccle'],['SNU-C1']
STK24--RNF113B,1,['ccle'],['SNU-C1']
PAQR5--FAM169B,1,['ccle'],['SNU-C1']
MIPOL1--TTC6,1,['ccle'],['RKO']
AC139769.2--RPS5,1,['ccle'],['RKO']
ACTR3B--AC006348.1,1,['ccle'],['RKO']
TBC1D3L--SMYD3,1,['ccle'],['NCI-H510A']
LMCD1-AS1--AC077690.1,1,['ccle'],['NCI-H510A']
OXR1--PTK2,1,['ccle'],['NCI-H510A']
TCEA2--ITGAE,1,['ccle'],['NCI-H510A']
UBB--UBA52,1,['ccle'],['MDST8']
ELOVL5--KLHL31,1,['ccle'],['MDA-MB-361']
PTMA--ANP32B,1,['ccle'],['LS-180']
MICAL3--ATP6V1E1,1,['ccle'],['LS-180']
HBB--AC104389.5,1,['ccle'],['KU812']
ATP2B4--ASRGL1,1,['ccle'],['KARPAS-620']
EXD3--AC139099.2,1,['ccle'],['HT55']
EMC1-AS1--SUZ12,1,['ccle'],['HT55']
KDM6A--AL807742.1,1,['ccle'],['HT-29']
MARS--INHBC,1,['ccle'],['HT-115']
RPL7A--RPL7AP65,1,['ccle'],['HT-115']
MALRD1--SLC39A12,1,['ccle'],['HT-115']
AC141930.1--PXDN,1,['ccle'],['HT-115']
YEATS4--LYZ,1,['ccle'],['HT-115']
AC073140.2--EZH2,1,['ccle'],['HT-115']
RAD18--OXTR,1,['ccle'],['HCT-116']
RPL17-C18orf32--RPL17P12,1,['ccle'],['HCC1187']
TMX2--SMTNL1,1,['ccle'],['HCC1187']
IMMP2L--BMT2,1,['ccle'],['COLO-741']
AL669831.3--KRT8,1,['ccle'],['CL-40']
AL355499.1--HULC,1,['ccle'],['C2BBe1']
