ndatasets,accuracy,precision,#Total-TP,#Total-GT,#Total-FP
1,0.8577294685990339,0.2806652806652807,44,50,119
2,0.7987922705314009,0.5711590157154672,41,50,35
3,0.577536231884058,0.8202020202020203,31,50,6
