ndatasets,accuracy,precision,#Total-TP,#Total-GT,#Total-FP
1,0.8565217391304348,0.08598253509053894,43,50,494
2,0.7497584541062802,0.23015391529041682,38,50,161
3,0.5695652173913044,0.41489608730988037,29,50,47
