ndatasets,accuracy,precision,#Total-TP,#Total-GT,#Total-FP
1,0.6398550724637682,0.16928405770910515,34,50,289
2,0.4328502415458937,0.4298552754435107,23,50,42
3,0.2159420289855072,0.8888888888888888,12,50,1
