ndatasets,accuracy,precision,#Total-TP,#Total-GT,#Total-FP
1,0.8710144927536233,0.055822521767237766,44,50,826
2,0.8487922705314009,0.14499088732217566,43,50,308
3,0.626328502415459,0.37626573617952924,32,50,55
