ndatasets,accuracy,precision,#Total-TP,#Total-GT,#Total-FP
1,0.8355072463768116,0.2895790200138026,43,50,128
2,0.8077294685990338,0.4660414890593918,42,50,54
3,0.6275362318840579,0.7857142857142857,33,50,8
