ndatasets,accuracy,precision,#Total-TP,#Total-GT,#Total-FP
1,0.6342995169082125,0.14757517025175018,34,50,372
2,0.3538647342995169,0.44403714565004887,19,50,38
3,0.15917874396135265,0.8055555555555555,9,50,3
