ndatasets,accuracy,precision,#Total-TP,#Total-GT,#Total-FP
1,0.6475845410628019,0.11345427059712775,34,50,302
2,0.5473429951690821,0.4196983383975254,28,50,51
3,0.33260869565217394,0.577485380116959,17,50,18
