ndatasets,accuracy,precision,#Total-TP,#Total-GT,#Total-FP
1,0.8432367149758454,0.03677544520081758,43,50,1155
2,0.7509661835748793,0.27949183303085295,39,50,114
3,0.1391304347826087,0.5714285714285715,8,50,2
