ndatasets,accuracy,precision,#Total-TP,#Total-GT,#Total-FP
1,0.6475845410628019,0.14905273937532001,34,50,206
2,0.5106280193236715,0.43226381461675584,26,50,42
3,0.2159420289855072,0.8888888888888888,12,50,1
