ndatasets,accuracy,precision,#Total-TP,#Total-GT,#Total-FP
1,0.8432367149758454,0.0337877094732876,43,50,1247
2,0.7654589371980677,0.2613095238095238,40,50,130
3,0.13019323671497582,0.6333333333333333,7,50,7
