ndatasets,accuracy,precision,#Total-TP,#Total-GT,#Total-FP
1,0.5473429951690821,0.16775642295753249,28,50,194
2,0.3893719806763285,0.4761904761904761,20,50,28
3,0.15917874396135265,0.8888888888888888,9,50,1
