ndatasets,accuracy,precision,#Total-TP,#Total-GT,#Total-FP
1,0.8710144927536233,0.05069080600783076,44,50,894
2,0.8487922705314009,0.11684636692361676,43,50,375
3,0.7775362318840581,0.20070880169402336,39,50,199
