ndatasets,accuracy,precision,#Total-TP,#Total-GT,#Total-FP
1,0.8710144927536233,0.06075442277804638,44,50,744
2,0.8565217391304348,0.14110002189323648,43,50,289
3,0.6929951690821256,0.26456349206349206,35,50,140
