ndatasets,accuracy,precision,#Total-TP,#Total-GT,#Total-FP
1,0.7654589371980677,0.06681559062999719,40,50,681
2,0.24589371980676325,0.42857142857142855,13,50,16
3,0.1246376811594203,0.5555555555555555,7,50,2
