ndatasets,accuracy,precision,#Total-TP,#Total-GT,#Total-FP
1,0.8710144927536233,0.0640307448145185,44,50,705
2,0.7920289855072463,0.14598183088749125,40,50,254
3,0.6118357487922705,0.3708126550868487,31,50,55
