gene_fusion,count,cell_lines_found_in
BCR--ABL1,17,"['SUPB15_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE', 'KCL22_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE', 'MOLM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE', 'NALM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE', 'BV173_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE', 'K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE', 'KU812_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE', 'NCO2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE', 'MEG01_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE', 'JHOS2_OVARY', 'JURLMK1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE', 'EM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE', 'JK1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE', 'HNT34_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE', 'KYO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE', 'LAMA84_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE', 'CMLT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE']"
ABL1--BCR,13,"['SUPB15_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE', 'KCL22_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE', 'MOLM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE', 'NALM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE', 'BV173_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE', 'KU812_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE', 'MEG01_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE', 'JURLMK1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE', 'EM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE', 'JK1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE', 'HNT34_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE', 'KYO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE', 'LAMA84_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE']"
LINC00511--SLC39A11,9,"['HCT116_LARGE_INTESTINE', 'MKN45_STOMACH', 'TT_OESOPHAGUS', 'SNUC4_LARGE_INTESTINE', 'HEC59_ENDOMETRIUM', 'SNU1077_ENDOMETRIUM', 'KYSE270_OESOPHAGUS', 'A375_SKIN', 'LCLC103H_LUNG']"
TTC6--MIPOL1,9,"['LNCAPCLONEFGC_PROSTATE', 'SNUC4_LARGE_INTESTINE', 'HCC1419_BREAST', 'LMSU_STOMACH', 'VCAP_PROSTATE', 'NCIH1819_LUNG', 'MDAPCA2B_PROSTATE', 'TE6_OESOPHAGUS', 'MDAMB361_BREAST']"
PPFIBP1--SMCO2,7,"['HS746T_STOMACH', 'ONCODG1_OVARY', 'OAW28_OVARY', 'JHUEM7_ENDOMETRIUM', 'HCC1187_BREAST', 'SKOV3_OVARY', 'NIHOVCAR3_OVARY']"
NPM1--ALK,6,"['SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE', 'KIJK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE', 'SUDHL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE', 'SUPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE', 'KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE', 'DEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE']"
AKAP13--PDE8A,5,"['SW620_LARGE_INTESTINE', 'NCIH2291_LUNG', 'HCC1187_BREAST', 'HCC56_LARGE_INTESTINE', 'SW480_LARGE_INTESTINE']"
UPF3A--CDC16,5,"['K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE', 'KU812_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE', 'RCC10RGB_KIDNEY', 'SW1463_LARGE_INTESTINE', 'KASUMI6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE']"
CCDC57--CSNK1D,4,"['HCC1806_BREAST', 'MEG01_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE', 'SNU182_LIVER', 'SNU1033_LARGE_INTESTINE']"
ARHGAP10--EDNRA,4,"['L33_PANCREAS', 'KPL1_BREAST', 'RERFLCAI_LUNG', 'COLO741_SKIN']"
