gene_fusion,count,cell_lines_found_in
PTK2--PKHD1L1,1,['NCIH510_LUNG']
HDAC2--BEND3,1,['NCIH510_LUNG']
BAZ1A--SFTA3,1,['NCIH510_LUNG']
NFE2L1--SKAP1,1,['NCIH510_LUNG']
PKHD1L1--ESRP1,1,['NCIH510_LUNG']
XRCC6--ACO2,1,['NCIH510_LUNG']
ARHGAP23--MRPL45,1,['647V_URINARY_TRACT']
R3HDM2--DCTN2,1,['NCIH510_LUNG']
ELOVL6--ENPEP,1,['NCIH510_LUNG']
FBXL3--TRPC4,1,['NCIH510_LUNG']
VPS8--AGRN,1,['NCIH510_LUNG']
CYLD--KLF3,1,['NCIH510_LUNG']
MGRN1--C16orf96,1,['HCT15_LARGE_INTESTINE']
NT5DC1--FRK,1,['HCT15_LARGE_INTESTINE']
GGA3--NUP85,1,['HCT15_LARGE_INTESTINE']
FRK--NT5DC1,1,['HCT15_LARGE_INTESTINE']
PRMT3--RBM4B,1,['HCT15_LARGE_INTESTINE']
PLAUR--LYPD5,1,['HCT15_LARGE_INTESTINE']
TP53BP1--PSMA4,1,['WSUDLCL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE']
RFT1--UQCRC2,1,['HCC1806_BREAST']
TAX1BP1--AHCY,1,['HCC1806_BREAST']
POLA2--CAPN1,1,['HCC1806_BREAST']
WNK1--CWC22,1,['HCC1806_BREAST']
SMURF2--CEP112,1,['HCC1806_BREAST']
LDLRAD3--TCP11L1,1,['HCC1806_BREAST']
FAM222B--SEZ6,1,['HCC1806_BREAST']
PTPRJ--LPXN,1,['HCC1806_BREAST']
GALNT18--SBF2,1,['HCC1806_BREAST']
EZR--OSTCP1,1,['MDAMB361_BREAST']
TMEM104--CDK12,1,['MDAMB361_BREAST']
BRIP1--VMP1,1,['MDAMB361_BREAST']
TANC2--PSMD12,1,['MDAMB361_BREAST']
SUPT4H1--CEP112,1,['MDAMB361_BREAST']
MAP1LC3B--ZNF821,1,['MDAMB361_BREAST']
TOX3--GNAO1,1,['MDAMB361_BREAST']
DDX42--PITPNC1,1,['MDAMB361_BREAST']
CDYL--CDKAL1,1,['MDAMB361_BREAST']
CMTM4--AKR1C4,1,['MDAMB361_BREAST']
MTMR4--CUEDC1,1,['MDAMB361_BREAST']
TANC2--MTMR4,1,['MDAMB361_BREAST']
RAB22A--PHACTR3,1,['MDAMB361_BREAST']
SMARCC1--PACS2,1,['KARPAS620_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE']
GPRC5A--RPL13AP20,1,['HT115_LARGE_INTESTINE']
MTMR3--APOH,1,['HT29_LARGE_INTESTINE']
USP6NL--UPF2,1,['HT29_LARGE_INTESTINE']
MEGF6--PLCH2,1,['YAPC_PANCREAS']
VEGFA--KIF6,1,['YAPC_PANCREAS']
SIM2--RIPPLY3,1,['YAPC_PANCREAS']
USP32--CWC25,1,['ZR7530_BREAST']
DDX5--DEPTOR,1,['ZR7530_BREAST']
BCAS3--HOXB9,1,['ZR7530_BREAST']
TAOK1--PCGF2,1,['ZR7530_BREAST']
PLEC--ENPP2,1,['ZR7530_BREAST']
PPM1D--TRAPPC9,1,['ZR7530_BREAST']
TRPS1--LASP1,1,['ZR7530_BREAST']
HYLS1--TIMM23,1,['ZR7530_BREAST']
CENPO--RAB10,1,['ZR7530_BREAST']
ZMYM4--OPRD1,1,['ZR7530_BREAST']
USP32--SMURF2,1,['ZR7530_BREAST']
NEAT1--LTBP3,1,['SW1573_LUNG']
TCF7L1--TMSB10,1,['SW1573_LUNG']
LARP4B--TSPAN33,1,['SW1573_LUNG']
ME2--DCC,1,['SW1573_LUNG']
FGFR3--BAIAP2L1,1,['SW780_URINARY_TRACT']
GSN--NMRK1,1,['SW780_URINARY_TRACT']
RABGAP1--PCSK5,1,['SW780_URINARY_TRACT']
DNAJC3--VWA8,1,['SW403_LARGE_INTESTINE']
ST7--BAIAP2L1,1,['COLO741_SKIN']
