ccle,gray,edgren

ndatasets,cell,accuracy,precision,#TP,#GT,#FP,TP_list,FP_list
1,BT474,0.9565217391304348,0.43137254901960786,22,23,29,"['THRA--AC090627.1', 'ZMYND8--CEP250', 'ACACA--STAC2', 'RPS6KB1--SNF8', 'TOB1--SYNRG', 'STX16--RAE1', 'TRPC4AP--MRPL45', 'MED1--STXBP4', 'AHCTF1--NAAA', 'STARD3--DOK5', 'RAB22A--MYO9B', 'MED1--ACSF2', 'GLB1--CMTM7', 'VAPB--IKZF3', 'FAM102A--CIZ1', 'MED13--BCAS3', 'PIP4K2B--RAD51C', 'SKA2--MYO19', 'CPNE1--PI3', 'USP32--MED1', 'DIDO1--TTI1', 'LAMP1--MCF2L']","['ASTN2--AL354754.1', 'TPM4--SYCE2', 'FITM2--UQCC1', 'MEF2D--OR10J1', 'PPP1R12A--MGAT4C', 'RBM12--PI3', 'TRIM37--MYO19', 'ZFP64--PHACTR3', 'BCAS3--AC034268.2', 'POLA2--MAP3K11', 'NCOA2--ZNF704', 'FCHSD2--LRTOMT', 'AC025048.4--HEATR6', 'ERBB2--LASP1', 'CYP4F8--ILVBL', 'PPP1R9A--WDR66', 'ERBB2--RPL8', 'AL669831.3--MALAT1', 'SDHD--AP003973.3', 'FLNB--COL5A2', 'HNRNPA2B1--MALAT1', 'NVL--ENAH', 'CYP4F3--ILVBL', 'VAPB--APCDD1L-DT', 'KAT6A--PLAT', 'YWHAB--YWHAZ', 'BRD4--RFX1', 'ERN1--TBC1D3P1', 'TADA2A--AL589743.4']"
1,MCF7,0.8666666666666667,0.19117647058823528,13,15,55,"['BCAS4--BCAS3', 'ARFGEF2--SULF2', 'RPS6KB1--VMP1', 'RPS6KB1--DIAPH3', 'PAPOLA--AK7', 'ADAMTS19--SLC27A6', 'SMARCA4--CARM1', 'AC099850.1--VMP1', 'MYO9B--FCHO1', 'MYH9--EIF3D', 'ATXN7L3--FAM171A2', 'AHCYL1--RAD51C', 'SULF2--PRICKLE2']","['TXLNG--SYAP1', 'TANC2--CA4', 'GCN1--MSI1', 'DEPDC1B--ELOVL7', 'POP1--MATN2', 'RSBN1--AP4B1-AS1', 'TAF4--BRIP1', 'MYO6--SENP6', 'USP32--APPBP2', 'ELP2--FP236383.1', 'SMARCC1--EMCN', 'NAV1--GPR37L1', 'ABCA5--PPP4R1L', 'BCAS4--ZMYND8', 'ESR1--CCDC170', 'ATP1A1--ZFP64', 'EIF3H--RAD21', 'AC011921.1--PLPPR5', 'GATAD2B--NUP210L', 'TBL1XR1--RGS17', 'RAD51C--ATXN7', 'ARRB1--KLHL35', 'TTC6--AL121790.1', 'MTAP--CDKN2B-AS1', 'PDE8A--SCAND2P', 'BCAS3--ATXN7', 'LEMD3--AC002375.1', 'UBE2E2--LINC02005', 'BMERB1--ABCC1', 'NCOA3--LINC01661', 'BCAS4--LINC01441', 'GATAD2A--MAU2', 'AC010173.1--SLC16A7', 'ATP9A--AL357558.2', 'PARD6B--BCAS3', 'SARNP--MMP19', 'UBB--UBA52', 'PRKCH--AL355916.1', 'SIAH2-AS1--AC020636.1', 'MKRN1--CLDN15', 'HACD2--MYLK', 'COP1--ASTN1', 'DENND2C--AC005914.1', 'VAV3--AP4B1-AS1', 'RPS6KB1--CLTC', 'PNPLA7--DPH7', 'HIPK1--DENND2C', 'AC114498.2--HSP90AB1', 'AL669831.3--MALAT1', 'LRP1B--PLXDC1', 'AC114498.2--RPL13A', 'BPTF--PITPNC1', 'AC053481.3--DIAPH3', 'AL133342.1--PREX1', 'AL669831.3--NME2']"
1,SKBR3,0.75,0.28125,9,12,23,"['TATDN1--GSDMB', 'CYTH1--EIF3H', 'SUMF1--LRRFIP2', 'PREX1--CPNE1', 'CSE1L--AL035685.1', 'RARA--PKIA', 'KLHDC2--SNTB1', 'CCDC85C--SETD3', 'DHX35--ITCH']","['ANKHD1-EIF4EBP3--PCDH1', 'NCOA2--AC004083.1', 'ACOT8--WASH3P', 'TAF2--COLEC10', 'ATAD5--TLK2', 'VSTM2L--CTNNBL1', 'SAMD12--MRPL13', 'KPNA6--KHDRBS1', 'TBC1D31--ZNF704', 'TRAM1--AC004083.1', 'TRIO--FBXL7', 'PBRM1--WDR82', 'OR51S1--TP53I11', 'ACOT8--WASH2P', 'SSU72--SLC35E2B', 'EPS8L2--PYCR1', 'SLC25A6--P4HB', 'STAG3L5P--SIVA1', 'CFAP73--TPCN1', 'KCNK3--SRRM2', 'SEC24C--PRPF6', 'SBF1--LMNA', 'ZNF740--SUCLG1']"
2,BT474,0.9130434782608695,0.75,21,23,7,"['THRA--AC090627.1', 'ZMYND8--CEP250', 'ACACA--STAC2', 'RPS6KB1--SNF8', 'TOB1--SYNRG', 'STX16--RAE1', 'TRPC4AP--MRPL45', 'MED1--STXBP4', 'AHCTF1--NAAA', 'STARD3--DOK5', 'RAB22A--MYO9B', 'MED1--ACSF2', 'GLB1--CMTM7', 'VAPB--IKZF3', 'FAM102A--CIZ1', 'MED13--BCAS3', 'PIP4K2B--RAD51C', 'SKA2--MYO19', 'CPNE1--PI3', 'DIDO1--TTI1', 'LAMP1--MCF2L']","['ASTN2--AL354754.1', 'MEF2D--OR10J1', 'PPP1R12A--MGAT4C', 'TRIM37--MYO19', 'BCAS3--AC034268.2', 'FCHSD2--LRTOMT', 'AC025048.4--HEATR6']"
2,MCF7,0.8,0.34285714285714286,12,15,23,"['BCAS4--BCAS3', 'ARFGEF2--SULF2', 'RPS6KB1--VMP1', 'RPS6KB1--DIAPH3', 'PAPOLA--AK7', 'ADAMTS19--SLC27A6', 'SMARCA4--CARM1', 'AC099850.1--VMP1', 'MYO9B--FCHO1', 'MYH9--EIF3D', 'AHCYL1--RAD51C', 'SULF2--PRICKLE2']","['TXLNG--SYAP1', 'TANC2--CA4', 'GCN1--MSI1', 'DEPDC1B--ELOVL7', 'POP1--MATN2', 'RSBN1--AP4B1-AS1', 'TAF4--BRIP1', 'MYO6--SENP6', 'ELP2--FP236383.1', 'SMARCC1--EMCN', 'NAV1--GPR37L1', 'ABCA5--PPP4R1L', 'ESR1--CCDC170', 'ATP1A1--ZFP64', 'EIF3H--RAD21', 'AC011921.1--PLPPR5', 'GATAD2B--NUP210L', 'TBL1XR1--RGS17', 'ARRB1--KLHL35', 'MTAP--CDKN2B-AS1', 'BCAS3--ATXN7', 'BMERB1--ABCC1', 'ATP9A--AL357558.2']"
2,SKBR3,0.75,0.6428571428571429,9,12,5,"['TATDN1--GSDMB', 'CYTH1--EIF3H', 'SUMF1--LRRFIP2', 'PREX1--CPNE1', 'CSE1L--AL035685.1', 'RARA--PKIA', 'KLHDC2--SNTB1', 'CCDC85C--SETD3', 'DHX35--ITCH']","['ANKHD1-EIF4EBP3--PCDH1', 'NCOA2--AC004083.1', 'ATAD5--TLK2', 'VSTM2L--CTNNBL1', 'TBC1D31--ZNF704']"
3,BT474,0.782608695652174,0.9,18,23,2,"['THRA--AC090627.1', 'ZMYND8--CEP250', 'ACACA--STAC2', 'RPS6KB1--SNF8', 'TOB1--SYNRG', 'STX16--RAE1', 'TRPC4AP--MRPL45', 'MED1--STXBP4', 'AHCTF1--NAAA', 'STARD3--DOK5', 'RAB22A--MYO9B', 'MED1--ACSF2', 'GLB1--CMTM7', 'VAPB--IKZF3', 'MED13--BCAS3', 'PIP4K2B--RAD51C', 'SKA2--MYO19', 'LAMP1--MCF2L']","['ASTN2--AL354754.1', 'TRIM37--MYO19']"
3,MCF7,0.5333333333333333,0.7272727272727273,8,15,3,"['BCAS4--BCAS3', 'ARFGEF2--SULF2', 'RPS6KB1--VMP1', 'PAPOLA--AK7', 'ADAMTS19--SLC27A6', 'SMARCA4--CARM1', 'AC099850.1--VMP1', 'MYO9B--FCHO1']","['TXLNG--SYAP1', 'RSBN1--AP4B1-AS1', 'ATP1A1--ZFP64']"
3,SKBR3,0.4166666666666667,0.7142857142857143,5,12,2,"['TATDN1--GSDMB', 'CYTH1--EIF3H', 'SUMF1--LRRFIP2', 'CSE1L--AL035685.1', 'CCDC85C--SETD3']","['ANKHD1-EIF4EBP3--PCDH1', 'ATAD5--TLK2']"
