gcsi,gray,uhn

ndatasets,cell,accuracy,precision,#TP,#GT,#FP,TP_list,FP_list
1,BT474,0.9130434782608695,0.04449152542372881,21,23,451,"['RPS6KB1--SNF8', 'ZMYND8--CEP250', 'ACACA--STAC2', 'STX16--RAE1', 'FAM102A--CIZ1', 'AHCTF1--NAAA', 'TOB1--SYNRG', 'TRPC4AP--MRPL45', 'MED1--ACSF2', 'STARD3--DOK5', 'MED1--STXBP4', 'MED13--BCAS3', 'RAB22A--MYO9B', 'SKA2--MYO19', 'PIP4K2B--RAD51C', 'GLB1--CMTM7', 'USP32--MED1', 'DIDO1--TTI1', 'CPNE1--PI3', 'LAMP1--MCF2L', 'VAPB--IKZF3']","['THRA--THRA1/BTR', 'NPEPPS--TBC1D3', 'STX16-NPEPL1--RAE1', 'IKZF3--VAPB', 'SDHD--AP003973.3', 'NPIPB5--SMG1', 'AP002884.2--AP003973.3', 'ASTN2--AL354754.1', 'ERBB2--GRB7', 'TPM4--SYCE2', 'MEF2D--OR10J1', 'PTMA--SET', 'SIDT2--TAGLN', 'FITM2--UQCC1', 'CDK6--PSPH', 'PPP1R12A--MGAT4C', 'PTMA--HSP90AA1', 'NPM1--SET', 'RPL19--EEF1A1', 'LASP1--ERBB2', 'LINC00680--AC138409.2', 'NCL--SET', 'NPM1--PTMA', 'RNF125--BRI3BP', 'TMPO--ZFP36L1', 'TRIM37--MYO19', 'ATXN3--STARD7', 'SCNN1A--TNFRSF1A', 'YWHAB--LRRC75A', 'CLPB--PRR11', 'DDX6--RPL7L1', 'RPL23--EEF1A1', 'BRD4--RFX1', 'ZFP64--PHACTR3', 'BCAS3--AC034268.2', 'IKZF3--NSD2', 'RRM1--TRIM68', 'AC025048.4--HEATR6', 'ANP32B--SET', 'PTMA--APLP2', 'HILPDA--AC010655.3', 'HSPE1--MOB4', 'SLC29A1--HSP90AB1', 'CCDC125--EIF3G', 'CYP4F8--CYP4F23P', 'ERBB2--ACTB', 'NVL--ENAH', 'ZNF600--ZNF813', 'NCOA2--ZNF704', 'UBA2--WTIP', 'AC024560.4--AC124944.2', 'AC092747.2--PPFIBP1', 'APLP2--HSP90AA1', 'ELL--ISYNA1', 'ERGIC3--THRIL', 'MRPS33--TMPO', 'PPP1R9A--WDR66', 'RPL19--NCL', 'AC124944.2--AC132008.2', 'BCAS1--ZNF44', 'CCDC32--CBX3', 'CIRBP--FAM174C', 'HMGB1--PTMA', 'LRRC8A--SET', 'PSPH--IGF2BP3', 'TJP1--AC111152.1', 'AC091951.3--HERC2', 'ACSL3--SGPP2', 'CYP4F8--ILVBL', 'GOLT1A--KISS1', 'LSM12--TRG@', 'PSPH--TRB@', 'AC004921.2--GSAP', 'AP002754.1--RPLP0P2', 'CIZ1--NCL', 'COQ8B--NUMBL', 'D2HGDH--GAL3ST2', 'DDX27--ZNFX1', 'PIF1--DDOST', 'TRIM3--HPX', 'ZNF451--BAG2', 'AC044860.1--GOLGA2P2Y', 'AC124312.1--APBA2', 'AC138649.1--HERC2', 'CTBS--GNG5', 'EIF4G1--PTMA', 'HSP90AA1--NCL', 'IGFBP5--HSP90AA1', 'MLLT6--RET', 'MTG1--SCART1', 'NPM1--EPHA5', 'PRR11--AC008592.5', 'ZNF544--ZNF8', 'AP000534.2--AC073869.7', 'AP000944.5--MAP3K11', 'CCDC88C--NAP1L1', 'CCNI--PTMA', 'DDX17--PANTR1', 'ERBB2--ERGIC1', 'ERGIC1--LASP1', 'FCHSD2--LRTOMT', 'GREB1--ZNF284', 'KRT7--RPL19', 'PTMA--ANP32A', 'PTMA--TTBK1', 'SERF1A--SMN1', 'ACTB--KRT8', 'ARPC4--SETD5', 'CYP4F11--CYP4F23P', 'EEF1A1--EIF4G1', 'HMGB1--SET', 'IGF2BP1--STAC2', 'KDM7A-DT--MIR100HG', 'KRT8--EIF4G1', 'MPLKIP--AC124798.1', 'NAIP--OCLN', 'NCL--EPHA5', 'PRR11--LINC02185', 'PRRC2A--ERBB2', 'PTMA--APP', 'TMED2-DT--FTH1', 'AC006441.3--IGFBP5', 'ACIN1--PTMA', 'AP000974.1--SYTL2', 'ATXN2--TOMM70', 'C19MC--PRR11', 'CFL1--RPL19', 'CIZ1--PTMA', 'CRIPAK--USP14', 'GMEB1--CASP6', 'HLF--MLLT6', 'HSP90AA1--SMARCA4', 'HSPBP1--C11ORF80', 'IL3RA--SWAP70', 'KRTAP5-2--KRTAP5-1', 'LASP1--CALM1', 'NCL--ANP32A', 'NCL--UBTF', 'PAICS--RPS18', 'PRR11--WDR19', 'PTMA--CENPB', 'PTMA--LRRC59', 'PTMA--SRRM2', 'SMARCA4--PTMA', 'TRPV3--LPP', 'UGGT1--AL158154.3', 'ZNF124--ZNF670-ZNF695', 'ZNF681--PGAM5', 'ABCA10--ABCA11P', 'AC006064.4--LASP1', 'AC006441.3--PTMA', 'AC006441.3--SLC25A6', 'AC008840.1--SPATA9', 'AC064829.1--KLHL42', 'AC073320.1--LRRFIP1', 'ACSS1--APMAP', 'AL022323.3--DHFR', 'AL589182.1--AP000527.1', 'AL590652.1--VAPA', 'ARL5A--THUMPD3-AS1', 'BAIAP2L2--SLC16A8', 'C19MC--RPLP1', 'C19ORF47--AKT2', 'CALCOCO2--DNAL1', 'CFL1--IGFBP5', 'CRLF2--RAB3D', 'DHX40--MED1', 'DNAJC5--ACTB', 'ERBB2--FAM102A', 'FBXL20--NNT-AS1', 'FKBP8--PTMA', 'IGFBP5--MLLT6', 'LASP1--CTNNA1', 'LASP1--TMBIM6', 'MIR100HG--RAB29', 'MRPS30--PMS2', 'MYH9--SET', 'PDE10A--PITPNM3', 'PTMA--DAXX', 'PTMA--PELP1', 'SEC16A--EEF1A1', 'SET--APLP2', 'SET--RANGAP1', 'SETSIP--NCL', 'TEAD2--SLC6A16', 'UBA1--LASP1', 'UBL5--CLCN7', 'UBXN2A--MFSD2B', 'UCP2--ZFP36L1', 'WDR12--MED29', 'ZNF491--ZNF700', 'ZNF665--RAB29', 'ZNF700--ZNF763', 'AC005828.7--DENR', 'AC006064.4--PKM', 'AC006064.6--NCL', 'AC010326.2--CCNB3', 'AC010401.1--GID8', 'ACTB--UBAP2L', 'ACTR8--AC012467.2', 'AIMP2--ANKRD61', 'ALK--IRX3', 'AP003119.1--GUCY2EP', 'ARID4B--NCL', 'BRD4--RPL19', 'C9ORF152--AC245884.4', 'CDV3--NEK1', 'CLTC--ACTB', 'CNTNAP2--EIF1AX', 'CSDE1--ACTB', 'DDX18--AC009313.2', 'DHFR--ERBB2', 'DYNLRB1--MAP1LC3A', 'EED--HIKESHI', 'ERBB2--CISD3', 'ERBB2--IPO7', 'ERBB2--RPS14', 'ERH--AC092979.1', 'FGFR2--MKNK2', 'GABRB3--RYR3', 'GCC2-AS1--AC133644.3', 'HNRNPA2B1--RPL23', 'HSP90AA1--ACTB', 'ITCH--HNRNPUL1', 'ITCH--MAP1LC3A', 'KRT8--HNRNPA2B1', 'KRT8--SERINC2', 'LARS--SLC25A33', 'LASP1--ZMIZ1', 'LIMD1--TRA@', 'LONP2--RSL1D1', 'LRP5--ERBB2', 'MAVS--TMEM161B-AS1', 'MED1--YWHAB', 'MED24--LASP1', 'MLLT6--CCNI', 'MYO9A--RAC1', 'NCL--PRKCSH', 'NCOA3--MLLT6', 'NOP9--PRKCSH', 'NUSAP1--INO80-AS1', 'PARP1--SPOP', 'PKM--TUBB', 'PRR11--HMG20B', 'PRRC2B--P4HB', 'PSMB3--TRA@', 'PTMA--EWSR1', 'PTMA--PTMS', 'PTMA--SCAF1', 'RNF41--MYO1C', 'SERINC3--ACTB', 'SERINC3--C19MC', 'SGK3--SLC35E3', 'SLC24A1--PTMA', 'SSH2--LIMD1', 'STK4--TSHZ2', 'STRN4--ERBB2', 'TAF8--AC006213.6', 'TLE5--IGFBP5', 'UBB--CFL1', 'USP7--ACTB', 'XPO5--CASP6', 'YWHAB--ERBB2', 'ZNF652--LRRC75A', 'ABL1--SURF4', 'AC091180.3--IGFBP5', 'AC093001.1--TM4SF1-AS1', 'ACACA--EEF1A1', 'ACTB--FOXN3', 'ACTB--ITCH', 'ADAR--LINC02482', 'AL158154.3--SMIM14', 'AL161454.1--PARK7', 'AL390728.4--ZNF720', 'ANKRD17--NCL', 'AP002748.4--MRPL11', 'AP003108.2--EIF2S3', 'AP1S3--CRLF2', 'APLP2--CIZ1', 'APP--ACTB', 'ARHGEF12--IGFBP5', 'ARL2--RUNDC1', 'BCL11A--YWHAZ', 'BRAF--EXOG', 'C19MC--SMIM14', 'C9ORF152--MCPH1-AS1', 'CAPN2--PTMA', 'CASZ1--RPL23AP89', 'CCAR1--SPOP', 'CCDC124--PTMA', 'CENPB--NCL', 'CHST11--EIF5', 'CLSTN1--ERBB2', 'CPT2--FMR1', 'CRIPT--TAPBP', 'CSF2RA--STARD7', 'CXORF56--FBXO7', 'CYP4F23P--CYP4F3', 'DCAF7--TACO1', 'DDX21--YWHAB', 'EEF1A1--IRAK1', 'EEF1AKNMT--DNM3', 'EGLN2--ERBB2', 'EIF5B--PTMA', 'ELMSAN1--IGFBP5', 'ERBB2--ACSL1', 'ERBB2--LETM1', 'ETV6--IVD', 'FAM210B--SCO1', 'FAU--RABL6', 'FTH1--RPS14', 'FYCO1--LZTFL1', 'GASK1B--AC098679.4', 'GREB1--HNRNPUL1', 'HDGF--NCL', 'HDLBP--YWHAB', 'HMGB1--CALR', 'HNRNPA0--FMR1', 'HNRNPH1--HNRNPA2B1', 'HNRNPU--AHNAK', 'HSPB1--FTH1', 'ICOSLG--C19MC', 'IDE--TBC1D16', 'IGFBP5--SEPTIN11', 'IGFBP5--TNRC18', 'ITCH--PRRC2A', 'ITCH--TFRC', 'ITPK1--PTMA', 'KHSRP--GAPDH', 'KLF7--AC134508.1', 'KLHL42--BHLHE40', 'KPNB1--ERBB2', 'KRT8--DYNLRB1', 'KRT8--MARCKSL1', 'LASP1--KREMEN1', 'LASP1--NPLOC4', 'LASP1--PRR11', 'LASP1--YWHAB', 'LINC00632--RPL7L1', 'LINC01118--CSRP1', 'LRRC75A--FAM210B', 'MAPK14--MLLT6', 'MCCC2--WIPF2', 'MECOM--RPL22', 'MED12--NLGN3', 'MIR193BHG--MIS18A', 'MTHFR--DTD2', 'MUC6--PPIA', 'MYL6--GNAS', 'NCL--RTN4', 'NCL--SETD1A', 'NEK5--ZKSCAN1', 'NELFB--TOR4A', 'NIPA2--WDFY3-AS2', 'NOL11--NCOA3', 'NPM1--PTPN11', 'OR52A1--DDI2', 'PAICS--FAM98C', 'PCGF2--ZFP36L1', 'PCGF2--ZMAT1', 'PDIA6--AC092687.3', 'PEBP1--YWHAB', 'PHB--HNRNPL', 'POLR3GL--PTMA', 'PPIP5K1--CATSPER2', 'PPM1G--NCL', 'PRR11--AL158154.3', 'PRR11--YWHAB', 'PRRC2B--YWHAB', 'PSMC1--PKM', 'PSMD3--DDX54', 'PTMA--ARL6IP4', 'PTMA--CLSTN1', 'PTMA--HK1', 'PTP4A2--MLLT6', 'PTPRS--ERBB2', 'RAB7A--PTMA', 'RAC1--IGH@', 'RAD23B--LASP1', 'RPH3AL--LASP1', 'RPL7L1--TRA@', 'RPRD1B--GID8', 'SBK1--TRA@', 'SCAF1--NCL', 'SHROOM3--CCNI', 'SLC9A3R1--ACTB', 'SMARCA2--PTMA', 'SPINT2--PRKCSH', 'STAC2--CACNB1', 'STRIT1--SAPCD2', 'STRN--CCNI', 'STX18-AS1--IGFBP5', 'TAPBP--TSPAN31', 'TFRC--ACTB', 'TIMELESS--RANGAP1', 'TMUB1--LASP1', 'TTLL1--PACSIN2', 'TXNL4A--SLC66A2', 'UBE2Z--P4HB', 'UCK2--SDHC', 'UTP6--COPRS', 'VIRMA--PTMA', 'VPS4A--PDF', 'YWHAE--LASP1', 'ZFHX3--NCL', 'ZFP36L1--IGFBP5', 'ZMYND8--LASP1', 'ZNF264--TRUB2', 'ZNF346--FGFR4', 'ZNF621--FCF1', 'ZNF675--PPHLN1', 'ACACA--ERBB2', 'NUTM2A--NUTM2B', 'AGPAT5--MCPH1', 'EWSR1--FUS', 'NCAPD2--MRPL51', 'PDK2--VMP1', 'POLA2--CDC42EP2', 'SET--ANP32E', 'TADA2A--ERBB2', 'RPL19--SET', 'NCL--ERBB2', 'LASP1--MLLT6', 'RPL19--SUPT16H', 'TPM3--ERBB2', 'ALCAM--MALAT1', 'HSP90AA1--PTMA', 'ZC3H11A--ERBB2', 'CHD4--ERBB2', 'RPL19--HNRNPF', 'AP002990.1--ACTB', 'SRSF3--ERBB2', 'ACACA--YWHAB', 'EIF2AK1--ERBB2', 'SNX32--MALAT1', 'CNOT1--ERBB2', 'CALCOCO2--ERBB2', 'ERBB2--RAB10', 'DNAJC5--LASP1', 'ETFA--ERBB2', 'NSD1--ERBB2', 'AL121594.1--ERBB2', 'ILF3--ACTB', 'IPO7--ERBB2', 'LASP1--CPSF1', 'CDC42--ERBB2', 'MGST1--ERBB2', 'SLC38A2--RPL23', 'RBMX--RPL23', 'ZNF664--ERBB2', 'ACTB--NCOA6']"
1,MCF7,0.8,0.06666666666666667,12,15,168,"['BCAS4--BCAS3', 'RPS6KB1--VMP1', 'ARFGEF2--SULF2', 'AC099850.1--VMP1', 'ADAMTS19--SLC27A6', 'SMARCA4--CARM1', 'MYO9B--FCHO1', 'ATXN7L3--FAM171A2', 'RPS6KB1--DIAPH3', 'PAPOLA--AK7', 'AHCYL1--RAD51C', 'SULF2--PRICKLE2']","['SLC25A24--NBPF6', 'SLC25A24--NBPF4', 'SYTL2--PICALM', 'DEPDC1B--ELOVL7', 'BCAS3--REG4', 'GCN1--MSI1', 'VPS35L--IQCK', 'RSBN1--AP4B1-AS1', 'GIGYF2--EIF4E2', 'NPIPB5--SMG1', 'ATP1A1--ZFP64', 'USP31--CRYL1', 'TTC6--AL121790.1', 'TXLNG--SYAP1', 'TANC2--CA4', 'GATAD2B--NUP210L', 'MYO6--SENP6', 'SMARCC1--EMCN', 'TAF4--BRIP1', 'ESR1--CCDC170', 'GBF1--MACROD2', 'NAV1--GPR37L1', 'PTMA--HSP90AB1', 'RAD51C--ATXN7', 'SPTLC1--AL445231.1', 'NPM1--SET', 'AC011921.1--PLPPR5', 'AP000974.1--SYTL2', 'EEF1D--NAPRT', 'PTMA--PTMS', 'AC103770.1--TMEM64', 'ATXN3--STARD7', 'NPEPPS--TBC1D3', 'SET--ANP32B', 'CTBS--GNG5', 'MTAP--CDKN2B-AS1', 'POP1--MATN2', 'RLN1--RLN2', 'AC010173.1--SLC16A7', 'DDX6--RPL7L1', 'GRHL2--AP001330.1', 'HIPK1--DENND2C', 'HMGB1--SET', 'TMPO--ZNF426', 'WDR72--CCDC162P', 'YWHAE--MYO1C', 'AL133410.1--NPR2', 'FKBP8--PTMA', 'GABRD--SLC35E1', 'HIPK1--ACTB', 'HMGB1--PELP1', 'KRT8--RHOBTB3', 'MACROD2--C14ORF132', 'OS9--NCL', 'PARD6B--BCAS3', 'PDE8A--SCAND2P', 'PTMA--ANP32E', 'RAC1--IGH@', 'RNF125--BRI3BP', 'RSBN1--DCLRE1B', 'SCNN1A--TNFRSF1A', 'AC108721.2--CDT1', 'ATXN7--BCAS3', 'C19MC--SMIM14', 'CACNA1A--TAF13', 'CCDC88C--NAP1L1', 'CENPB--NCL', 'DENND2C--AC005914.1', 'GAS2L3--FGFR1', 'GSR--YIPF6', 'HNRNPUL1--ACTB', 'HUWE1--ACTB', 'KRT8--EMP2', 'KRT8--LRRFIP1', 'KRT8--RPL7A', 'KRT8--SLC7A2', 'LINC01393--MET', 'LINC02506--TPH2', 'NUCKS1--GATA3', 'PLCG1--TOP1', 'PTPA--KRT8', 'RBM6--BCAR1', 'SERPINB9--RIPK1', 'SULF2--ACTB', 'TTBK1--PTMA', 'AC006064.6--PRKCSH', 'AC096647.1--SLC25A24', 'ADGRE2--ADGRE5', 'ATP9A--AL357558.1', 'ATXN7--BCAS1', 'B3GNTL1--SLC9A8', 'GSN--SMIM22', 'HAND2-AS1--LINC02269', 'MAN1A2--CBLN4', 'MCM4--KRT8', 'MORF4L2-AS1--TMEM31', 'NAIP--OCLN', 'PTMA--SUPT6H', 'SET--ANP32E', 'EP300--CREBBP', 'FUNDC2--BRCC3', 'KCND3--PPM1E', 'UBA2--WTIP', 'NUMA1--KRT8', 'CHD4--KRT8', 'GSE1--KRT8', 'TKT--KRT8', 'DYNC1H1--KRT8', 'KRT19--UBC', 'AC006064.4--EEF2', 'TPM3--KRT8', 'PLCG1--KRT8', 'NRBP1--KRT8', 'EIF2AK1--KRT8', 'AC021087.5--KRT8', 'GAPDH--RPL18', 'PCBP1-AS1--KRT8', 'GAPDH--RPL37', 'ITGB5--KRT8', 'MTHFD1--KRT8', 'ANXA2--KRT8', 'C1ORF43--KRT8', 'SAE1--KRT8', 'ZC3H11A--KRT8', 'EFTUD2--KRT8', 'RPL21--GNAS', 'GAPDH--RPS21', 'CNOT1--KRT8', 'KRT8--LMAN2', 'GAPDH--RPS19', 'FTX--KRT8', 'PXDN--KRT8', 'CDC42--KRT8', 'ETFA--KRT8', 'PRC1--KRT8', 'BHLHE40--KRT8', 'ATP13A1--KRT8', 'GRB2--CSDE1', 'CELF1--KRT8', 'JAK1--KRT8', 'NCOR1--KRT8', 'PKM--RPS10-NUDT3', 'TJP2--KRT8', 'CTCF--KRT8', 'STRN4--KRT8', 'ALDOA--RPL18', 'EHMT1--KRT8', 'FASN--PIEZO1', 'HSD17B4--KRT8', 'ILF3--ACTB', 'MKRN1--KRT8', 'MYO6--KRT8', 'RPS6KB1--CLTC', 'AURKA--KRT8', 'SNX27--KRT8', 'KRT8--CD63', 'NFE2L1--KRT8', 'SMIM14--ACTG1', 'NCOA3--RACK1', 'KRT8--PDXDC1', 'KRT8--UBE2Z', 'KRT8--PDIA3', 'NCOA3--BCAS3', 'PRPF3--KRT8', 'NOL11--KRT8', 'KRT8--NSD1', 'TMSB4X--IGF1R', 'AC016876.2--DSCAM-AS1']"
1,SKBR3,0.5833333333333334,0.07216494845360824,7,12,90,"['CYTH1--EIF3H', 'SUMF1--LRRFIP2', 'RARA--PKIA', 'CSE1L--AL035685.1', 'CCDC85C--SETD3', 'ANKHD1--PCDH1', 'TATDN1--GSDMB']","['GSDMB--TATDN1', 'VSTM2L--CTNNBL1', 'SAMD12--MRPL13', 'TRAM1--AC004083.1', 'ATXN3--STARD7', 'TAF2--COLEC10', 'CPNE1--PREX1', 'KPNA6--KHDRBS1', 'AC117386.2--P3H4', 'AL590666.4--RRNAD1', 'TMPO--MRPS33', 'AC005993.1--LINC02562', 'AC018362.1--CCND3', 'CBX3--CCDC32', 'ERBB2--ACTB', 'LINC01393--MET', 'ADK--SAMD8', 'MPRIP--UBB', 'MSMB--NCOA4', 'RCC1--UBE2D2', 'SLC29A1--HSP90AB1', 'KRT7--RPL19', 'S100A16--RPL19', 'RPL19--SLC3A2', 'RPL19--TPI1', 'AP002990.1--ACTB', 'XBP1--RPL19', 'TKT--ERBB2', 'ERBB2--GRB7', 'RPL19--CALR', 'RAB5C--ERBB2', 'RPL19--HNRNPF', 'GAPDH--RPS19', 'TXNRD1--ERBB2', 'LAMA5--ERBB2', 'APLP2--ACTB', 'GAPDH--RPS21', 'AC093512.2--RPS12', 'P4HB--RPS14', 'COPA--ACTB', 'FTX--ERBB2', 'NDST1--ERBB2', 'HNRNPL--ACTB', 'AC068580.4--MED1', 'ACTB--SREBF1', 'CPNE3--ERBB2', 'AC093512.2--RPL27A', 'ADIPOR1--ACTB', 'CTSD--SENP3-EIF4A1', 'CHD4--ERBB2', 'SLC44A2--ACTB', 'ACTB--FAM120A', 'ANXA7--ERBB2', 'PPIA--SEPTIN9', 'ACTB--CLN3', 'ATP5F1A--ACTB', 'CREB3L4--ERBB2', 'SUSD2--IMPDH1', 'SUSD2--RPL29', 'ACTB--PLEKHB2', 'MYO19--ACTB', 'PAK2--RPL19', 'RPS18--APLP2', 'STRN4--ERBB2', 'TPI1--HSP90AA1', 'RPL19--PDIA3', 'EIF2AK1--ERBB2', 'IPO7--ERBB2', 'PPT1--CD24', 'CNOT1--ERBB2', 'LITAF--ERBB2', 'TKT--CD24', 'TXNRD1--PDIA3', 'TUBA1C--CD24', 'EIF2AK1--CD24', 'CPNE3--CD24', 'ERBB2--PA2G4', 'RPS15A--CD24', 'DAG1--ERBB2', 'MGST1--ERBB2', 'RPL19--SDHA', 'TMBIM1--ERBB2', 'C1ORF43--ERBB2', 'GTF2I--EIF4B', 'TPM3--ERBB2', 'GOLM1--ERBB2', 'KTN1--ERBB2', 'CALU--PDIA3', 'CNOT1--CD24', 'RAD21--APLP2']"
2,BT474,0.21739130434782608,0.35714285714285715,5,23,9,"['RPS6KB1--SNF8', 'ZMYND8--CEP250', 'ACACA--STAC2', 'STX16--RAE1', 'MED1--ACSF2']","['THRA--THRA1/BTR', 'NPEPPS--TBC1D3', 'ERBB2--GRB7', 'NPM1--SET', 'NCL--SET', 'CFL1--RPL19', 'LASP1--CTNNA1', 'ACACA--ERBB2', 'TPM3--ERBB2']"
2,MCF7,0.3333333333333333,0.25,5,15,15,"['BCAS4--BCAS3', 'RPS6KB1--VMP1', 'ARFGEF2--SULF2', 'AC099850.1--VMP1', 'ADAMTS19--SLC27A6']","['ATP1A1--ZFP64', 'TANC2--CA4', 'PTPA--KRT8', 'MCM4--KRT8', 'TKT--KRT8', 'TPM3--KRT8', 'NRBP1--KRT8', 'EIF2AK1--KRT8', 'AC021087.5--KRT8', 'C1ORF43--KRT8', 'SAE1--KRT8', 'ETFA--KRT8', 'CELF1--KRT8', 'MKRN1--KRT8', 'MYO6--KRT8']"
2,SKBR3,0.25,0.3333333333333333,3,12,6,"['CYTH1--EIF3H', 'SUMF1--LRRFIP2', 'TATDN1--GSDMB']","['TKT--ERBB2', 'TXNRD1--ERBB2', 'NDST1--ERBB2', 'CPNE3--ERBB2', 'CHD4--ERBB2', 'ANXA7--ERBB2']"
3,BT474,0.0,0.0,0,23,2,[],"['THRA--THRA1/BTR', 'NPEPPS--TBC1D3']"
3,MCF7,0.06666666666666667,0.5,1,15,1,['RPS6KB1--VMP1'],['MCM4--KRT8']
3,SKBR3,0.0,0,0,12,0,[],[]
