ccle,gray,edgren

ndatasets,cell,accuracy,precision,#TP,#GT,#FP,TP_list,FP_list
1,BT474,0.9130434782608695,0.0945945945945946,21,23,201,"['ACACA--STAC2', 'RPS6KB1--SNF8', 'STX16--RAE1', 'TRPC4AP--MRPL45', 'TOB1--SYNRG', 'AHCTF1--NAAA', 'VAPB--IKZF3', 'MED1--ACSF2', 'RAB22A--MYO9B', 'MED1--STXBP4', 'STARD3--DOK5', 'GLB1--CMTM7', 'FAM102A--CIZ1', 'SKA2--MYO19', 'PIP4K2B--RAD51C', 'MED13--BCAS3', 'CPNE1--PI3', 'DIDO1--TTI1', 'USP32--MED1', 'LAMP1--MCF2L', 'ZMYND8--CEP250']","['THRA--THRA1/BTR', 'NPEPPS--TBC1D3', 'CEP250--ZMYND8', 'STX16-NPEPL1--RAE1', 'SMG1--NPIPB5', 'ERBB2--GRB7', 'ASTN2--AL354754.1', 'ACTB--AL359924.1', 'TPM4--SYCE2', 'AP000534.2--AC073869.9', 'FITM2--UQCC1', 'PPP1R12A--MGAT4C', 'TRIM3--HPX', 'MEF2D--OR10J1', 'NAIP--OCLN', 'ZNF451--BAG2', 'ZFP64--PHACTR3', 'PRKRIP1--AC091390.2', 'SCNN1A--TNFRSF1A', 'AL109827.1--PI3', 'AP000944.5--MAP3K11', 'BCAS3--AC034268.2', 'FCHSD2--LRTOMT', 'HSPE1--MOB4', 'FCHSD2--AP000812.5', 'LASP1--KRT8', 'NPM1--PTMA', 'PTMA--HMGB1', 'FASN--IGFBP5', 'SLC24A1--PTMA', 'TRIM37--MYO19', 'AP000534.2--AC073869.7', 'AP4S1--LINC01247', 'CDK6--PSPH', 'CYP4F8--ILVBL', 'ELL--ISYNA1', 'ERBB2--ACTB', 'ZC3HAV1--MIR100HG', 'ACSS1--APMAP', 'HLF--MLLT6', 'KAT6A--PLAT', 'SERF1A--SMN1', 'ZNF600--ZNF813', 'AC025048.4--HEATR6', 'ERBIN--NLN', 'MTG1--SCART1', 'PPP1R9A--WDR66', 'AC092747.2--PPFIBP1', 'ACSF2--DHX40', 'CENPB--PTMA', 'DDX17--PANTR1', 'HILPDA--AC010655.3', 'LASP1--IGFBP5', 'MLLT6--LASP1', 'NCOA2--ZNF704', 'PRR11--CLPB', 'SIDT2--TAGLN', 'ANP32B--SET', 'APLP2--PTMA', 'BZW2--TSPAN13', 'CLSPN--PTMA', 'COQ8B--NUMBL', 'EEF1AKNMT--DNM3', 'ERVK9-11--SDHA', 'FAM210B--PRR11', 'GAPDH--EEF1A1', 'GSE1--ERBB2', 'GSE1--PTMA', 'HMGB1--NPM1', 'IGH@--LASP1', 'NCL--SET', 'PRR11--MALT1', 'PSMD3--KRT19', 'PSPH--CHST11', 'RPL23--C17ORF98', 'SMARCA4--PTMA', 'VCP--EEF1A1', 'AC073320.1--LRRFIP1', 'ACACA--ERBB2', 'ACTG1--SFPQ', 'ARL6IP1--RPS15A', 'ARPC4--SETD5', 'ASL--CRCP', 'C19MC--GNB4', 'C19MC--SMIM14', 'CCND3--BRI3BP', 'CEP250--GDF5', 'CHCHD3--EXOC4', 'DNAH14--CNIH3', 'FBXO46--SNRPD2', 'FTH1--KRT8', 'HACL1--COLQ', 'HMGB1--ANP32B', 'HNRNPU--PFN1', 'KLHL42--NCK1-DT', 'KLHL42--ZBTB42', 'LRRC75A--YWHAB', 'LSS--SPATC1L', 'MLLT6--INTS1', 'NUMA1--KRT8', 'PCGF2--CFLAR', 'PCGF2--PGAP3', 'PHACTR3--AL109829.1', 'PMF1--BGLAP', 'POLD2--YWHAG', 'PPIA--TMBIM6', 'PRR11--LINC02185', 'PTMA--ABCF1', 'PTMA--PTMS', 'PTMA--SUPT5H', 'RAD18--OXTR', 'RAD51AP1--DYRK4', 'RPL28--LASP1', 'S100A16--GRIK2', 'SLC25A32--BAALC-AS1', 'THAP11--ATXN3', 'TXNL4A--SLC66A2', 'UBA2--WTIP', 'WDR37--TMEM178B', 'WDR66--MLXIP', 'ZNRF2--FKBP9', 'AC008770.1--AC008758.3', 'AC093001.1--TM4SF1-AS1', 'ACTB--ILF3', 'ATF2--ATP5MC3', 'BRAP--PCNP', 'BRD4--RFX1', 'CCT3--H2AFV', 'COPS3--CDH1', 'CPSF6--AOPEP', 'DYNC1H1--ARHGEF12', 'FAM219A--DNAI1', 'G2E3--EGLN3', 'HSP90AB1--GNAS', 'LINC02236--LINC01990', 'LINC02739--MAP4K3-DT', 'MED1--TAPBP', 'MEF2D--LINC02819', 'MRPS5--AC103563.9', 'MTHFD1--KRT8', 'NDUFA1--AKAP14', 'NDUFA2--CSTF3', 'PCBP1-AS1--RPL23', 'PCGF2--DHCR24', 'PCGF2--SDHC', 'PHTF2--HERC4', 'RPRD1B--GID8', 'RRM2B--UBR5', 'SDF2--KIAA0100', 'SEPTIN4-AS1--BCAS3', 'SLC19A2--KIFAP3', 'SLC29A1--HSP90AB1', 'SOCS7--KRT8', 'TEAD2--SLC6A16', 'TMEM143--CCDC114', 'TMEM241--LINC01902', 'TPM3--KRT8', 'WAC--MTPAP', 'ZNF672--SMIM14', 'AKAP8L--BRD4', 'ATP6V0C--AMDHD2', 'CLN6--CALML4', 'HSCB--CCDC117', 'KMT2C--ACTR3B', 'MED8--ELOVL1', 'MID1--ARHGAP6', 'NCOR2--UBC', 'RLF--MYCL', 'SCARB1--UBC', 'RPL19--SET', 'CFL1--RPL19', 'NCL--ERBB2', 'LASP1--MLLT6', 'RPL19--SUPT16H', 'TPM3--ERBB2', 'ALCAM--MALAT1', 'HSP90AA1--PTMA', 'ZC3H11A--ERBB2', 'CHD4--ERBB2', 'RPL19--HNRNPF', 'AP002990.1--ACTB', 'SRSF3--ERBB2', 'ACACA--YWHAB', 'EIF2AK1--ERBB2', 'NPM1--SET', 'SNX32--MALAT1', 'CNOT1--ERBB2', 'LASP1--CTNNA1', 'CALCOCO2--ERBB2', 'ERBB2--RAB10', 'DNAJC5--LASP1', 'ETFA--ERBB2', 'NSD1--ERBB2', 'AL121594.1--ERBB2', 'ILF3--ACTB', 'IPO7--ERBB2', 'LASP1--CPSF1', 'CDC42--ERBB2', 'MGST1--ERBB2', 'AP2B1--RPL23', 'TKT--ERBB2']"
1,MCF7,0.8666666666666667,0.03140096618357488,13,15,401,"['RPS6KB1--VMP1', 'ARFGEF2--SULF2', 'ADAMTS19--SLC27A6', 'RPS6KB1--DIAPH3', 'SMARCA4--CARM1', 'AC099850.1--VMP1', 'PAPOLA--AK7', 'MYO9B--FCHO1', 'AHCYL1--RAD51C', 'MYH9--EIF3D', 'SULF2--PRICKLE2', 'ATXN7L3--FAM171A2', 'BCAS4--BCAS3']","['BCAS3--BCAS4', 'TXLNG--SYAP1', 'GCN1--MSI1', 'TANC2--CA4', 'DEPDC1B--ELOVL7', 'LINC00052--AC103871.1', 'SMG1--NPIPB5', 'TAF4--BRIP1', 'AP000974.1--SYTL2', 'MYO6--SENP6', 'RSBN1--AP4B1-AS1', 'AC103770.1--IRAK3', 'NAV1--GPR37L1', 'ACTB--AL359924.1', 'AC053481.3--DIAPH3', 'BCAS4--ZMYND8', 'POP1--MATN2', 'NPEPPS--TBC1D3', 'AC011921.1--PLPPR5', 'EIF3H--RAD21', 'ESR1--CCDC170', 'GATAD2B--NUP210L', 'EEF1D--NAPRT', 'KRT8--EEF1A1', 'AL845472.2--AL512625.2', 'ATP1A1--ZFP64', 'TBL1XR1--RGS17', 'KRT8--SLC7A5', 'MTAP--CDKN2B-AS1', 'REX1BD--TMEM59L', 'DSCAM-AS1--GLTP', 'SIDT2--TAGLN', 'SMARCC1--EMCN', 'AC005324.3--TRIM16L', 'AL031595.3--PLEKHB2', 'AC021504.1--SYT1', 'MALRD1--PLXDC2', 'RAD51C--ATXN7', 'AC019209.2--AC019209.3', 'CCDC32--CBX3', 'PDE8A--SCAND2P', 'WDR72--CCDC162P', 'EIF1--KRT18', 'GABRD--SLC35E1', 'KRT8--NME2', 'BCAS4--LINC01441', 'BMERB1--ABCC1', 'MET--CCDC162P', 'CACNA1A--TAF13', 'COQ8B--NUMBL', 'KRT8--EEF1A2', 'KRT8--PLEC', 'LEMD3--AC002375.1', 'AC140504.1--ABCC1', 'KCNMB2-AS1--AC092142.1', 'NAIP--OCLN', 'NPM1--PTMA', 'RPLP1--KRT8', 'BCAS3--ATXN7', 'C6ORF47--BAG6', 'GATAD2A--MAU2', 'RAB37--SLC9A3R1', 'TTC6--AL121790.1', 'AL139023.1--TBCK', 'ARRB1--KLHL35', 'ATP9A--AL357558.2', 'FTH1--HMGN2', 'GOLT1A--KISS1', 'PARD6B--BCAS3', 'PLCG1--TOP1', 'UBE2E2--LINC02005', 'AC211485.1--USP14', 'CTBS--GNG5', 'KRT8--RPL8', 'NONO--KRT8', 'PITPNM2--DDX42', 'PPIP5K1--CATSPER2', 'SLC3A2--KRT8', 'SLC7A5--RPL39', 'SNRPD2--KRT8', 'AC004980.3--POM121C', 'AC010173.1--SLC16A7', 'ACTB--KRT8', 'CIRBP--FAM174C', 'FTH1--AL135905.2', 'GFRA1--SYNPO', 'JPT1--NT5C', 'KRT8--AGRN', 'KRT8--LLGL2', 'KRT8--RPL35', 'LIN52--HERC4', 'MTG1--SCART1', 'TKT--KRT8', 'AC092115.2--DSCAM-AS1', 'AC103770.1--TMEM64', 'ADAMTS19--MINAR2', 'AL133410.1--NPR2', 'CLN6--CALML4', 'ELP2--SLC39A6', 'KRT8--AC006064.4', 'KRT8--CD24', 'KRT8--COX6A1', 'KRT8--H3F3B', 'KRT8--MYH14', 'KRT8--NUMA1', 'LINC02506--TPH2', 'LNX2--ARHGAP11A', 'MBOAT7--KRT8', 'MFGE8--HAPLN3', 'PIGL--TRA@', 'PLEC--KRT18', 'SARNP--MMP19', 'SCARB1--UBC', 'TMOD3--SGO2', 'TPM1--KRT8', 'AC009315.1--DISC1', 'AC093512.2--KRT8', 'ADGRE2--ADGRE5', 'ANP32A--NCL', 'AP1M2--Z83841.1', 'CANX--KRT8', 'EEF1A1--GAPDH', 'EEF1A1--KRT19', 'GAPDH--KRT18', 'GIPC1--KRT8', 'GNAS--KRT18', 'GREB1--KRT8', 'HACL1--COLQ', 'HIST1H2AC--HIST1H2BD', 'KRT8--DSCAM-AS1', 'KRT8--GOLGA2', 'LINC00893--IDS', 'MFSD3--LRRC14', 'MIF-AS1--PKM', 'PMS2--POLR2J3', 'PTMA--PELP1', 'SLC7A2--AP002490.1', 'SLC7A5--BCAP31', 'SLC7A5--SRRM2', 'TIMM23B--AC022400.4', 'YBX1--KRT8', 'AC027601.6--AC027601.1', 'ADNP--ACTB', 'ARL16--CCND3', 'ATXN2L--KRT8', 'C19ORF47--AKT2', 'CALM3--MYL6', 'CD24--WWOX', 'DENND2C--AC005914.1', 'DYNC1H1--KRT8', 'EPN1--KRT8', 'FKBP8--PTMA', 'GAPDH--RAD21', 'GSE1--KRT8', 'H1FX--KRT8', 'H3F3B--PKM', 'HIPK1--DENND2C', 'HSPE1--MOB4', 'KAT8--GIT2', 'KRT8--CANT1', 'KRT8--DNAJC5', 'KRT8--HNRNPH3', 'KRT8--HSPB1', 'KRT8--RPS19', 'KRT8--SQSTM1', 'LINC01393--MET', 'MED8--ELOVL1', 'MMP25--IL32', 'NCOA3--LINC01661', 'NOTCH1--KRT8', 'NOTCH3--KRT8', 'NUMBL--MAML2', 'P2RY6--ARHGEF17', 'PNPLA7--DPH7', 'PTGES2--SLC25A25-AS1', 'RAB3IP--SCFD1', 'RSBN1--DCLRE1B', 'SMARCA4--KRT8', 'SNX32--ACTB', 'THAP11--ATXN3', 'UBA2--WTIP', 'USP6--DISC1', 'AC004596.1--AC003102.1', 'AC004784.1--IGSF1', 'AC008592.5--PRR11', 'AC021087.5--KRT8', 'AC027277.1--DSCAM-AS1', 'AC027801.1--AC027801.3', 'AC090282.1--CASC8', 'AC104452.1--NUP88', 'AL096677.1--AL390037.1', 'AL137856.1--PTPN22', 'AL162595.2--LINC02814', 'ANP32B--APP', 'ANP32B--RPS28', 'AP000892.4--C9ORF78', 'APPBP2--KRT8', 'ATP13A1--KRT8', 'ATP6V0D1--NUP43', 'ATXN7--BCAS1', 'BAIAP2L2--SLC16A8', 'BASP1--AC105999.1', 'BAZ2A--KRT8', 'BRD2--KRT8', 'CDC37--KRT8', 'CEP164--KRT8', 'CHD4--KRT8', 'CR381670.2--PSMD14', 'CRLF2--FOXRED2', 'DAG1--KRT8', 'DDX23--KRT8', 'DERL1--AC104316.2', 'DHCR24--KRT8', 'DSCAM-AS1--SLC25A3', 'DUS4L--BCAP29', 'EEF1A2--GAPDH', 'EEF2--AHCY', 'EIF1--PPIA', 'EIF3D--HIF1AN', 'FAM87A--FAM87B', 'FBXO25--FAM157B', 'FOXP2--SRP14', 'FTH1--AC068580.4', 'FTH1--MLPH', 'GNAS--ITPK1', 'GRN--ACTG1', 'GSN--SMIM22', 'IGF1R--KRT8', 'JSRP1--RPS28', 'KRT18--POLR2A', 'KRT19--TFF1', 'KRT8--MAP4', 'KRT8--MZF1', 'KRT8--PCNX3', 'LINC00963--KAT8', 'LINC01004--LHFPL3-AS2', 'NCL--OS9', 'NCOA3--TMEM229A', 'NME2--PKM', 'NOP9--LTB4R', 'NXPH4--SHMT2', 'PLAT--RABGAP1', 'PLCG1--KRT8', 'PPIA--COX6C', 'PPIC--ZSWIM8', 'PRMT1--KRT18', 'RMND5A--ANAPC1', 'RPL18--ACTB', 'RPS6--B2M', 'RPS8--GAPDH', 'SART3--CORO1C', 'SDHA--KRT8', 'SF3B3--SCD', 'SLC24A1--PTMA', 'SLC7A5--RPS21', 'SPINT2--KRT18', 'SRP14--AC098650.1', 'SRP14--RBMS3', 'SYTL2--PICALM', 'TACSTD2--OMA1', 'TMSB4X--SLC27A4', 'TRADD--B3GNT9', 'UBA52--KRT8', 'UFD1--C22ORF39', 'USP14--HSPA4L', 'USP34--KRT8', 'VAV3--AP4B1-AS1', 'ZNF433-AS1--SDHA', 'ZNF675--PPHLN1', 'AC005537.1--SLC15A2', 'AC021087.5--AHRR', 'AC027682.4--AC027682.6', 'AC073896.2--KRT8', 'AC087499.2--DIAPH3', 'AIMP2--ANKRD61', 'AK3--CDC37L1-DT', 'AL049839.3--SERPINA3', 'ANKS1A--UHRF1BP1', 'AP000561.1--DNMT1', 'ATF7IP--GNAS', 'ATP6AP1--FAM50A', 'BCAS3--PPM1D', 'BRIP1--SLC3A2', 'CDKN3--AC020651.2', 'CNOT1--KRT8', 'COX6C--PDIA3', 'CPSF6--CAMSAP2', 'CPT1A--KRT8', 'CYB5D1--CHD3', 'DOCK1--CDK2AP1', 'DTNA--CASC8', 'EEF1D--APLP2', 'EIF3E--KRT8', 'EIF3G--KRT8', 'EMC3--KRT8', 'EPCAM--MSH2', 'EWSR1--FUS', 'FBXL4--REV3L', 'FBXO46--KRT8', 'GANAB--SLC3A2', 'GINS3--LINC02137', 'GPR107--KRT8', 'HDLBP--AC068580.4', 'IP6K2--KRT8', 'KIAA0100--ALDOA', 'KNTC1--KRT8', 'LINC00052--PTPN9', 'LLGL2--EWSR1', 'MALAT1--DOCK1', 'MB21D2--FGF12', 'MECP2--IRAK1', 'MED12--NLGN3', 'MESD--AC136489.1', 'MIR4713HG--AC020891.2', 'NCOA3--GNAS', 'NCOA3--HNRNPH1', 'OAZ1--SPPL2B', 'PARD6B--BCAS4', 'PCBP1-AS1--KRT8', 'PLPBP--AC021351.1', 'PRKAA1--TTC33', 'PRPF3--KRT8', 'PTPA--KRT8', 'RNASET2--KRT8', 'RNF121--IL18BP', 'RPL19--FAM104A', 'RPL27--IFI35', 'RPL37A--GNAS', 'RPL38--TTYH2', 'RRBP1--PDCD4', 'SAE1--KRT8', 'SAR1B--KRT8', 'SATB1-AS1--PTPDC1', 'SERP1--KRT8', 'SHKBP1--KRT8', 'SHROOM3--KRT8', 'SLC25A24--NBPF6', 'SLC2A11--MIF', 'SLC3A2--COX4I1', 'SPIN1--GNAS', 'TEX14--PTPRG', 'TJP2--KRT8', 'TMSB15B-AS1--RAB9B', 'UBTD2--STK10', 'ZNF337-AS1--SAMMSON', 'ACCS--EXT2', 'ARL6IP1--RPS15A', 'BCAS4--AURKA', 'BPTF--LRRC37A2', 'CSE1L--ARFGEF2', 'RAD51AP1--DYRK4', 'SLC29A1--HSP90AB1', 'TRIM3--HPX', 'UBE2V1--TBX2', 'UBE2V1--TBX2-AS1', 'USP31--CRYL1', 'VPS35L--IQCK', 'ZMYND8--USP32', 'NUMA1--KRT8', 'KRT19--UBC', 'AC006064.4--EEF2', 'TPM3--KRT8', 'NRBP1--KRT8', 'EIF2AK1--KRT8', 'GAPDH--RPL18', 'GAPDH--RPL37', 'MCM4--KRT8', 'ITGB5--KRT8', 'MTHFD1--KRT8', 'ANXA2--KRT8', 'C1ORF43--KRT8', 'ZC3H11A--KRT8', 'EFTUD2--KRT8', 'RPL21--GNAS', 'GAPDH--RPS21', 'KRT8--LMAN2', 'GAPDH--RPS19', 'FTX--KRT8', 'PXDN--KRT8', 'CDC42--KRT8', 'ETFA--KRT8', 'PRC1--KRT8', 'BHLHE40--KRT8', 'GRB2--CSDE1', 'CELF1--KRT8', 'JAK1--KRT8', 'NCOR1--KRT8', 'PKM--RPS10-NUDT3', 'CTCF--KRT8', 'STRN4--KRT8', 'ALDOA--RPL18', 'EHMT1--KRT8', 'FASN--PIEZO1', 'HSD17B4--KRT8', 'ILF3--ACTB', 'MKRN1--KRT8', 'MYO6--KRT8', 'RPS6KB1--CLTC', 'AURKA--KRT8', 'SNX27--KRT8', 'CKAP5--KRT8']"
1,SKBR3,0.75,0.03734439834024896,9,12,232,"['TATDN1--GSDMB', 'CYTH1--EIF3H', 'SUMF1--LRRFIP2', 'RARA--PKIA', 'CSE1L--AL035685.1', 'ANKHD1--PCDH1', 'KLHDC2--SNTB1', 'CCDC85C--SETD3', 'DHX35--ITCH']","['ERBB2--GRB7', 'CPNE1--PREX1', 'ANKHD1-EIF4EBP3--PCDH1', 'NPIPB5--SMG1', 'SAMD12--MRPL13', 'NCOA2--AC004083.1', 'ATAD5--TLK2', 'TAF2--COLEC10', 'CTNNBL1--VSTM2L', 'P2RY6--ARHGEF17', 'FASN--ERBB2', 'KPNA6--KHDRBS1', 'FASN--KRT8', 'AC124944.2--AC132008.2', 'CBX3--CCDC32', 'ERBB2--GAPDH', 'TBC1D31--ZNF704', 'TRIO--FBXL7', 'AC022400.4--TIMM23B', 'TRAM1--AC004083.1', 'NPEPPS--TBC1D3', 'FASN--H19', 'PBRM1--WDR82', 'PVT1--LINC00536', 'AC018865.3--CYP4F30P', 'AL022344.1--AP000525.1', 'FASN--S100A6', 'AL589182.1--AP000527.1', 'C6ORF47--BAG6', 'NPM1--PTMA', 'ADGRE2--ADGRE5', 'LINC02693--AC069061.2', 'PDIA6--AC092687.3', 'SCNN1A--TNFRSF1A', 'CCDC125--EIF3G', 'DTX2P1-UPK3BP1-PMS2P11--AC004951.1', 'TIMM23B--BMS1P4-AGAP5', 'TRAP1--TINCR', 'CACNA1A--TAF13', 'CTSD--SLC25A6', 'NAIP--OCLN', 'AC027277.1--TFDP2', 'AC091951.3--HERC2', 'AQP3--FOLH1', 'C19MC--RPLP1', 'ERBB2--LGALS3BP', 'LGALS3BP--KRT18', 'MECOM--LMCD1-AS1', 'MIDN--NR2F2', 'MILR1--MRPL30', 'MTSS1--AC034114.2', 'RPL34--OSTC', 'SCAF1--ALDH16A1', 'SLC45A4--LINC00824', 'AC005993.1--LINC02562', 'AC080112.3--AC080112.4', 'AC138894.1--ERBB2', 'AL513210.1--LANCL1', 'BAGE2--CU104787.1', 'CLN3--ERBB2', 'H19--KRT19', 'JUP--GAPDH', 'KRT8--MYH9', 'MRPS33--TMPO', 'MTG1--SCART1', 'NRSN2-AS1--C20ORF96', 'NSF--LRRC37A3', 'PPIP5K1--CATSPER2', 'PRKAA1--TTC33', 'PTMA--SLC24A1', 'SND1--GAPDH', 'TSPAN15--UGCG', 'URB1--MIS18A', 'ZNF160--ZNF468', 'AC010969.1--DHRS2', 'AC124944.2--SDHA', 'ACTB--KRT8', 'ATXN3--STARD7', 'BMS1P4--AGAP5', 'DHRS2--GAPDH', 'EEF1D--NAPRT', 'IGSF3--CD58', 'KRT8--PKM', 'LARS--SLC25A33', 'NPM1--AC019155.1', 'PEX26--IGK@', 'RPTOR--RNF213', 'SCARB1--UBC', 'TRIM3--HPX', 'ZNF382--SPC24', 'ZNF445--CPVL', 'AC018362.1--CCND3', 'AC090527.2--AKAP13', 'AC093512.2--S100A6', 'ADGRG1--ERBB2', 'AL139011.2--RANGAP1', 'AL590666.4--RRNAD1', 'ATAD2--TPR', 'ATXN2--TOMM70', 'AUTS2--RDH13', 'BLOC1S6--AKAP13', 'COQ8B--NUMBL', 'CRY2--MAPK8IP1', 'CSNK2A1--PREX1', 'CTSD--RPS21', 'DEPDC1B--PDE4D', 'DUS4L--BCAP29', 'EEF2--DAG1', 'EIF1--RPS28', 'EIF2B5--AC092941.1', 'EML4--ODR4', 'ERBB2--GORASP1', 'FASN--CFL1', 'FASN--EVPL', 'FBXO25--FAM157B', 'FBXO42--VPS18', 'FIG4--AL512303.1', 'GAPDH--LGALS3BP', 'GCAT--IGK@', 'HSPE1--MOB4', 'KRT18--ERBB2', 'LARP1--CNOT8', 'LINC00893--IDS', 'MRPS16--UXT-AS1', 'NCOR2--UBC', 'NPM1--EPHA5', 'PAICS--RPS18', 'PLXNB2--DHRS2', 'PMS2--POLR2J3', 'PTMA--APLP2', 'RAB9A--OFD1', 'RACK1--CLDN4', 'SET--HMGB2', 'SIDT2--TAGLN', 'TAOK1--DUSP4', 'TPI1--EEF1A1', 'USP36--EIF3H', 'VTCN1--PIK3CA', 'AC008840.1--SPATA9', 'AC011477.1--MTSS1', 'AC091614.1--WDR60', 'AC104035.1--WDR60', 'CLPX--PTPN9', 'CPEB4--C5ORF47', 'ERBB2--SLC3A2', 'GOLT1A--KISS1', 'GPR157--SLC2A5', 'GTF2H2--NPLOC4', 'H3F3A--GNAS', 'IQSEC1--MBNL1', 'ISG20L2--AL590666.1', 'ITFG1--PHKB', 'KANSL1--LRRC37A3', 'MDFIC--LINC01393', 'NDST1--KRT8', 'PLCD4--CXCR2', 'PTPA--AL158151.3', 'RAB11FIP3--RAB40C', 'RAB5C--ERBB2', 'RCC1--FAF1', 'RNF152--AC090409.1', 'SLC25A23--SELENBP1', 'SLC29A1--HSP90AB1', 'STK4--YWHAB', 'STX16--NPEPL1', 'TACC2--KRT8', 'TBC1D22A--GRAMD4', 'TBC1D31--SLC30A8', 'TMEM38B--SRP9', 'TRAM1--LACTB2', 'TRAPPC12--COLEC11', 'ZFAND2A--C7ORF50', 'ZNRF2--LINC01176', 'B4GALT1--BAG1', 'CDK2--RAB5B', 'CTBS--GNG5', 'NUTM2A--NUTM2B', 'STK40--THRAP3', 'TLCD4--RWDD3', 'TKT--ERBB2', 'AL121594.1--ERBB2', 'C1ORF43--ERBB2', 'CNOT1--ERBB2', 'PRKCSH--ERBB2', 'TPM3--ERBB2', 'TXNRD1--ERBB2', 'CPNE3--ERBB2', 'EIF2AK1--ERBB2', 'ERCC1--ERBB2', 'IQCE--ERBB2', 'NDST1--ERBB2', 'TJP2--ERBB2', 'TMBIM1--ERBB2', 'TRIP12--ERBB2', 'KRT7--RPL19', 'S100A16--RPL19', 'RPL19--SLC3A2', 'RPL19--TPI1', 'AP002990.1--ACTB', 'XBP1--RPL19', 'RPL19--CALR', 'RPL19--HNRNPF', 'GAPDH--RPS19', 'LAMA5--ERBB2', 'APLP2--ACTB', 'GAPDH--RPS21', 'AC093512.2--RPS12', 'P4HB--RPS14', 'COPA--ACTB', 'FTX--ERBB2', 'HNRNPL--ACTB', 'AC068580.4--MED1', 'ACTB--SREBF1', 'AC093512.2--RPL27A', 'ADIPOR1--ACTB', 'CTSD--SENP3-EIF4A1', 'CHD4--ERBB2', 'SLC44A2--ACTB', 'ACTB--FAM120A', 'ANXA7--ERBB2', 'PPIA--SEPTIN9', 'ACTB--CLN3', 'ATP5F1A--ACTB', 'CREB3L4--ERBB2', 'SUSD2--IMPDH1', 'SUSD2--RPL29', 'ACTB--PLEKHB2', 'MYO19--ACTB', 'PAK2--RPL19', 'RPS18--APLP2', 'STRN4--ERBB2', 'TPI1--HSP90AA1']"
2,BT474,0.34782608695652173,0.6666666666666666,8,23,4,"['ACACA--STAC2', 'RPS6KB1--SNF8', 'STX16--RAE1', 'TOB1--SYNRG', 'VAPB--IKZF3', 'MED1--ACSF2', 'MED13--BCAS3', 'ZMYND8--CEP250']","['THRA--THRA1/BTR', 'NPEPPS--TBC1D3', 'ERBB2--GRB7', 'NCL--SET']"
2,MCF7,0.26666666666666666,0.2222222222222222,4,15,14,"['RPS6KB1--VMP1', 'ARFGEF2--SULF2', 'AC099850.1--VMP1', 'BCAS4--BCAS3']","['TANC2--CA4', 'ATP1A1--ZFP64', 'TKT--KRT8', 'DYNC1H1--KRT8', 'GSE1--KRT8', 'AC021087.5--KRT8', 'ATP13A1--KRT8', 'CHD4--KRT8', 'PLCG1--KRT8', 'CNOT1--KRT8', 'PCBP1-AS1--KRT8', 'PTPA--KRT8', 'SAE1--KRT8', 'TJP2--KRT8']"
2,SKBR3,0.16666666666666666,0.25,2,12,6,"['TATDN1--GSDMB', 'CYTH1--EIF3H']","['ERBB2--GRB7', 'RAB5C--ERBB2', 'TKT--ERBB2', 'TXNRD1--ERBB2', 'CPNE3--ERBB2', 'NDST1--ERBB2']"
3,BT474,0.13043478260869565,0.6,3,23,2,"['ACACA--STAC2', 'RPS6KB1--SNF8', 'STX16--RAE1']","['THRA--THRA1/BTR', 'NPEPPS--TBC1D3']"
3,MCF7,0.13333333333333333,1.0,2,15,0,"['RPS6KB1--VMP1', 'ARFGEF2--SULF2']",[]
3,SKBR3,0.08333333333333333,0.5,1,12,1,['TATDN1--GSDMB'],['RAB5C--ERBB2']
